Depht      COT
4710.0     0.98
4725.0     1.844
4743.0     1.845
4753.8     1.04
4761.0     1.593
4779.0     1.651
4797.0     1.551
4815.0     1.487
4833.0     1.505
4851.0     1.129
4869.0     1.04
5051.8     1.29
5073.0     1.27
5093.5     0.604
5121.0     1.11
5124.0     3.73
5135.5     1.36
5139.0     1.478
5157.0     1.569
5163.0     1.67
5170.0     3.86
5175.0     2.1
5193.0     1.957
5211.0     1.947
