Profundidade [m],COT [%],S1 [mg HC/g rocha],S2 [mg HC/g rocha],S3 [mg CO2/g rocha],Tmáx [°C],IH [mg HC/g COT,IO [mg CO2/g COT],Ro [%]
4899,0.99,0.73,1.55,4.09,437,156.5657,413.1313,-99999
4902,1.15,0.73,2.02,3.73,438,175.6522,324.3478,-99999
4905,1.32,0.65,2,3.75,440,151.5152,284.0909,-99999
4908,1.3,0.84,2.35,3.21,441,180.7692,246.9231,-99999
4911,1.43,0.81,2.65,3.06,441,185.3147,213.986,-99999
4914,1.53,0.91,2.51,3.19,440,164.0523,208.4967,-99999
4917,1.63,0.79,2.93,2.61,442,179.7546,160.1227,-99999
4920,1.59,0.89,3.17,3.05,442,199.3711,191.8239,-99999
4923,1.52,0.85,2.9,2.21,442,190.7895,145.3947,-99999
4926,1.53,1.04,3.06,3.06,440,200,200,-99999
4929,1.67,0.81,3.19,3.1,443,191.018,185.6287,-99999
4932,1.76,0.97,3.56,3.32,441,202.2727,188.6364,-99999
4935,1.63,1.29,3.53,3.92,440,216.5644,240.4908,-99999
4938,1.87,1.01,3.49,3.93,441,186.631,210.1604,-99999
4941,1.95,1.06,3.84,3.67,441,196.9231,188.2051,-99999
4944,2.14,1.14,4.35,3.18,441,203.271,148.5981,-99999
4947,2.24,1.06,4.56,3.31,441,203.5714,147.7679,-99999
4950,2.01,1.03,4.21,3.09,443,209.4527,153.7313,-99999
4953,2.21,0.18,4.45,2.28,437,201.3575,103.1674,-99999
4956,2.49,1.13,5.44,3.59,441,218.4739,144.1767,-99999
4959,2.71,1.06,5.49,3.3,442,202.583,121.7712,-99999
4962,2.29,0.21,5.25,2.32,437,229.2577,101.31,0.9
4965,2.52,1.1,5.44,2.9,441,215.873,115.0794,-99999
4968,2.53,0.92,5.51,2.49,443,217.7866,98.419,-99999
4971,2.28,1.08,4.76,2.66,443,208.7719,116.6667,-99999
4974,2.49,0.97,5.72,2.72,443,229.7189,109.2369,-99999
