Profundidade [m]	Fração de areia [%]
936.0	93.58997335300452
936.2	93.1663545931988
936.4	92.5236559089359
936.6	92.37304288462408
936.8	92.23387437475776
937.0	91.95359270955916
937.2	91.72256881956586
937.4	91.93572907960935
937.6	92.35815546484196
937.8	92.62337099084866
938.0	93.04534895104032
938.2	93.52384928351385
938.4	93.90451634865376
938.6	93.8895423821894
938.8	93.864989063724
939.0	94.15596230731494
939.2	94.35976611202538
939.4	94.2070779444769
939.6	93.9016299372876
939.8	93.98983883607026
940.0	94.13984066376695
940.2	94.17742471750199
940.4	94.43528447592082
940.6	94.74343924060369
940.8	94.46241500344108
941.0	94.29517363739734
941.2	94.18297688370254
941.4	93.69815106377854
941.6	92.40505136366149
941.8	90.22448875995295
942.0	86.92825220755066
942.2	83.37343723251259
942.4	81.45859059717948
942.6	81.42213219974602
942.8	82.57995507064383
943.0	83.98914422730132
943.2	84.96239763289437
943.4	85.60839778465892
943.6	86.18404743532444
943.8	86.24947143991474
944.0	86.6487534520826
944.2	86.91158026555176
944.4	86.92874750258757
944.6	87.817896442428
944.8	89.13112438565966
945.0	90.10829452404407
945.2	90.38327891915145
945.4	90.58663931179849
945.6	92.16863825222707
945.8	90.46352778936576
946.0	90.21041843997347
946.2	90.6955130407533
946.4	91.71277947913312
946.6	92.61034979764693
946.8	93.79791995238256
947.0	95.10578708200235
947.2	95.76246068971261
947.4	96.16967559435408
947.6	96.17294076491393
947.8	96.33331345564949
948.0	96.47299534706337
948.2	96.26688921576856
948.4	95.8118904542418
948.6	95.19682041882342
948.8	94.7036642485308
949.0	94.18437657529475
949.2	93.93827846735763
949.4	94.01542334710446
949.6	94.03765555320194
949.8	94.03786089917652
950.0	93.80084707375866
950.2	93.32327117291763
950.4	92.56665843849467
950.6	91.9164969833879
950.8	91.93554452674857
951.0	92.58164016611343
951.2	92.65977525539061
951.4	91.79361483535075
951.6	90.96121085479221
951.8	91.04633130805162
952.0	91.64835776986182
952.2	92.14579347652897
952.4	92.36090794970731
952.6	91.65392078347662
952.8	90.62828338667694
953.0	90.06172589625344
953.2	89.71147204705787
953.4	89.29133045936169
953.6	88.74234333211963
953.8	88.37091544047118
954.0	88.22403984747677
954.2	87.42404955848838
954.4	86.38637161248965
954.6	85.2998613238017
954.8	84.72026533068033
955.0	85.29386881755666
955.2	85.8894318743761
955.4	86.89677011089691
955.6	88.49409927424364
955.8	89.72696943193665
956.0	90.38877048460814
956.2	90.64258312422659
956.4	90.86854151801825
956.6	91.17244275720063
956.8	92.38596901730662
957.0	93.28866695949742
957.2	93.9603719010201
957.4	94.43920176576425
957.6	94.37933030270753
957.8	94.38042467880561
958.0	94.54180551997204
958.2	94.8135570489376
958.4	95.34051028702564
958.6	95.86733008318387
958.8	96.07094965147876
959.0	95.95170198080018
959.2	95.56467498357199
959.4	95.270701166052
959.6	95.00388222191887
959.8	94.41587843021333
960.0	93.45181164615704
960.2	92.82318838822509
960.4	92.33966189359653
960.6	91.88534490331347
960.8	92.32474396599768
961.0	93.58789240774034
961.2	94.93121053841267
961.4	95.77519968841824
961.6	96.38605441772852
961.8	96.62265614232749
962.0	97.06247924723958
962.2	97.53945237831296
962.4	97.8230432453858
962.6	98.12038299144228
962.8	98.47037796326595
963.0	98.71792817013474
963.2	98.69755862274275
963.4	98.58617765533486
963.6	98.35402476791376
963.8	98.05671480747603
964.0	98.05671480747603
964.2	98.40797233456213
964.4	98.85810369442376
964.6	98.99117470981923
964.8	98.89166946377783
965.0	98.62248837803963
965.2	98.71903608630444
965.4	99.06045903463283
965.6	99.22728953858015
965.8	99.14704580557223
966.0	99.09258152148055
966.2	99.07816461900299
966.4	98.47174160546184
966.6	96.9201221547188
966.8	94.48053114786144
967.0	90.15792125035324
967.2	84.078284592266
967.4	74.73079188589864
967.6	54.83346979530344
967.8	17.751946260853412
968.0	2.220446049250313e-14
968.2	2.220446049250313e-14
968.4	9.36319173933996
968.6	55.91409748427647
968.8	76.90469299143108
969.0	82.11616833870895
969.2	84.44565791315053
969.4	86.85969358130845
969.6	89.23836027106422
969.8	89.98052891035306
970.0	89.66080926609574
970.2	89.53907641699617
970.4	90.26242314483875
970.6	91.71321836770932
970.8	93.2656805108127
971.0	94.3661949558559
971.2	95.27920194736328
971.4	96.12502139156503
971.6	96.51104697052229
971.8	96.69295874730255
972.0	96.9291118225033
972.2	96.9536752755628
972.4	96.95554620644948
972.6	96.92938550311769
972.8	96.71359921211753
973.0	96.11187882157692
973.2	95.5736541581367
973.4	95.37788101563514
973.6	95.67763038088077
973.8	95.99507928009456
974.0	95.97263244942195
974.2	96.21435286622398
974.4	96.62483924480298
974.6	96.92847802600578
974.8	97.16099101196478
975.0	97.68666955147607
975.2	98.53157847038261
975.4	98.95977084718295
975.6	99.02032373046674
975.8	98.95220529058368
976.0	98.75849914059833
976.2	98.42767480141237
976.4	98.1327565921671
976.6	98.1353245219189
976.8	98.11525791880958
977.0	98.0853311221276
977.2	98.03470658383834
977.4	97.8389969067001
977.6	97.69850809249485
977.8	97.67645411253302
