Profundidade [m]	Fração de Areia [%]
1537.0	13.217459510587792
1537.2	15.283548880681375
1537.4	17.196157434638625
1537.6	15.610896414735892
1537.8	10.805826974919936
1538.0	5.0668283669612935
1538.2	3.0914758053575753
1538.4	3.294057797508268
1538.6	3.680603034689209
1538.8	4.15662250492151
1539.0	4.52210101119053
1539.2	4.542026338272974
1539.4	4.05631157004436
1539.6	3.8440285585276763
1539.8	4.385969474499886
1540.0	5.153260528698128
1540.2	4.812813693284831
1540.4	3.945528341811849
1540.6	2.813553525035459
1540.8	1.6382029564652831
1541.0	0.5716359421707444
1541.2	0.39471463486012587
1541.4	6.368056248498094
1541.6	15.332455538833262
1541.8	21.275804973984037
1542.0	21.730268161449853
1542.2	22.15278847372386
1542.4	24.4573936696488
1542.6	26.144439196919844
1542.8	26.952936204986308
1543.0	28.490859407926344
1543.2	31.194325536192245
1543.4	37.3101090349865
1543.6	42.78344647876738
1543.8	44.50183701105117
1544.0	40.54791400768981
1544.2	36.000853094220865
1544.4	34.19481849187326
1544.6	35.43796972966986
1544.8	36.05870440065266
1545.0	35.3290606095684
1545.2	36.20123737807204
1545.4	38.72873912141479
1545.6	40.17076727376818
1545.8	38.89660938825181
1546.0	35.80960752311672
1546.2	33.83269931093389
1546.4	34.57753601525716
1546.6	35.19667928470955
1546.8	33.88953154752868
1547.0	31.139339937028627
1547.2	28.82107513663231
1547.4	28.100496363185787
1547.6	28.754876202741787
1547.8	28.01841557839812
1548.0	26.451297952148607
1548.2	25.98983575044102
1548.4	26.735697151454985
1548.6	27.894228756420283
1548.8	29.351671384674706
1549.0	30.215781580572784
1549.2	29.884147207095673
1549.4	28.867307461563787
1549.6	26.405131879290792
1549.8	23.384409678514853
1550.0	23.617734850557298
1550.2	27.310573792844256
1550.4	29.316168112785743
1550.6	29.617203546659606
1550.8	29.53134125408536
1551.0	29.43948520605968
1551.2	29.34843404382835
1551.4	28.993737779402956
1551.6	27.357336053917823
1551.8	25.105213182650584
1552.0	23.322048332239195
1552.2	22.79407866032749
1552.4	24.498919298333984
1552.6	28.71580355671104
1552.8	33.88595376556416
1553.0	36.738322488070395
1553.2	38.17773878668463
1553.4	39.91715028638908
1553.6	43.058879487373424
1553.8	46.24618747372363
1554.0	48.15083010945508
1554.2	48.49522344361174
1554.4	47.51568221795112
1554.6	45.45885792524286
1554.8	44.33662890802546
1555.0	44.48037916424635
1555.2	44.57101714008663
1555.4	44.17609140931029
1555.6	44.03396916978645
1555.8	44.37523410864929
1556.0	45.97690538031328
1556.2	48.54268602757671
1556.4	49.303004291449284
1556.6	47.074737911723396
1556.8	45.50236709670184
1557.0	45.8721575077287
1557.2	46.61704652593631
1557.4	46.249280820919935
1557.6	45.61143486667871
1557.8	44.497919111863915
1558.0	42.83714847621943
1558.2	41.54415241227582
1558.4	40.387684875508505
1558.6	39.42661950465316
1558.8	39.09148545033414
1559.0	39.54772041410637
1559.2	40.492833056820565
1559.4	40.904503358318024
1559.6	38.580662554148844
1559.8	34.07867919001458
1560.0	31.393851374960153
1560.2	31.01828825980346
1560.4	31.28707289178518
1560.6	31.6595332955336
1560.8	32.13169845783927
1561.0	32.06753839659044
1561.2	30.415472976823416
1561.4	27.74853338274732
1561.6	25.307001027955057
1561.8	24.725694698807043
1562.0	26.218348539411778
1562.2	27.582499738798504
1562.4	27.280691475565852
1562.6	26.001600548591874
1562.8	25.873050608031974
1563.0	27.4066821895668
1563.2	28.345812410362708
1563.4	28.337719385071235
1563.6	29.10903642001299
1563.8	30.790853859726234
1564.0	31.103824404708735
1564.2	30.10274119008507
1564.4	29.146035869303635
1564.6	27.73954305836716
1564.8	25.284581763339176
1565.0	22.739953641501575
1565.2	20.37657694377411
1565.4	18.09082866409515
1565.6	16.25706445596627
1565.8	18.344450333748558
1566.0	22.212114413239966
1566.2	26.71781349660028
1566.4	28.238885783343065
1566.6	27.821241661148864
1566.8	26.31596798709097
1567.0	25.244870941723136
1567.2	25.41091748417748
1567.4	27.952870446198983
1567.6	30.836603236955447
1567.8	31.14689172842473
1568.0	29.613978401570986
1568.2	28.539297851038704
1568.4	27.147673681265616
1568.6	26.31391551648646
1568.8	26.42791738124102
1569.0	24.35837587155687
1569.2	20.979672345085426
1569.4	20.26520127970533
1569.6	22.950751422353072
1569.8	24.96010477835665
1570.0	24.690854260235554
1570.2	24.50883219902369
1570.4	26.76185426381816
1570.6	29.834559862010742
1570.8	30.362269660088163
1571.0	29.24290767601962
1571.2	28.78541937594762
1571.4	29.51011885227496
1571.6	30.541542196252443
1571.8	31.02743361818705
1572.0	31.117920010238134
1572.2	27.554037967066204
1572.4	21.244508538056753
1572.6	15.631073389227438
1572.8	17.55591177801942
1573.0	22.151121998366396
1573.2	25.425225989158335
1573.4	27.048102675075878
1573.6	28.03043340027681
1573.8	29.11680907965325
1574.0	29.84282684547292
1574.2	29.09058741440329
1574.4	27.05168682221021
1574.6	23.71342734112538
1574.8	18.681461415636235
1575.0	14.353496267625276
1575.2	13.188635759219737
1575.4	13.420333434838252
1575.6	12.593115369943185
1575.8	11.201607351751917
1576.0	12.554414216412635
1576.2	15.24028277895834
1576.4	16.9332093527341
1576.6	16.62017809775602
1576.8	15.994067067878996
1577.0	15.658718683068336
1577.2	15.325369830820723
1577.4	14.663667791171383
1577.6	13.352339888585208
1577.8	11.944162382283903
1578.0	11.680859560923722
1578.2	12.496615616536475
1578.4	12.988865633139412
1578.6	11.626933004003709
1578.8	10.127157201934795
1579.0	10.343470800002462
1579.2	12.891326316250872
1579.4	14.1884977280211
