Profundidade [m]	Paleobatimetria [m]
1537	833.7286107
1537.2	833.736387
1537.4	833.7441633
1537.6	833.7519395
1537.8	833.7597158
1538	833.7674921
1538.2	833.7752684
1538.4	833.7830446
1538.6	833.7908209
1538.8	833.7985972
1539	833.8063735
1539.2	833.8141497
1539.4	833.821926
1539.6	833.8297023
1539.8	833.8374785
1540	833.8452548
1540.2	833.8530311
1540.4	833.8608074
1540.6	833.8685836
1540.8	833.8763599
1541	833.8841362
1541.2	833.8919125
1541.4	833.8996887
1541.6	833.907465
1541.8	833.9152413
1542	833.9230176
1542.2	833.9307938
1542.4	833.9385701
1542.6	833.9463464
1542.8	833.9541226
1543	833.9618989
1543.2	833.9696752
1543.4	833.9774515
1543.6	833.9852277
1543.8	833.993004
1544	834.0007803
1544.2	834.0085566
1544.4	834.0163328
1544.6	834.0241091
1544.8	834.0318854
1545	834.0396617
1545.2	834.0474379
1545.4	834.0552142
1545.6	834.0629905
1545.8	834.0707667
1546	834.078543
1546.2	834.0863193
1546.4	834.0940956
1546.6	834.1018718
1546.8	834.1096481
1547	834.1174244
1547.2	834.1252007
1547.4	834.1329769
1547.6	834.1407532
1547.8	834.1485295
1548	834.1563057
1548.2	834.164082
1548.4	834.1718583
1548.6	834.1796346
1548.8	834.1874108
1549	834.1951871
1549.2	834.2029634
1549.4	834.2107397
1549.6	834.2185159
1549.8	834.2262922
1550	834.2340685
1550.2	834.2418448
1550.4	834.249621
1550.6	834.2573973
1550.8	834.2651736
1551	834.2729498
1551.2	834.2807261
1551.4	834.2885024
1551.6	834.2962787
1551.8	834.3040549
1552	834.3118312
1552.2	834.3196075
1552.4	834.3273838
1552.6	834.33516
1552.8	834.3429363
1553	834.3507126
1553.2	834.3584889
1553.4	834.3662651
1553.6	834.3740414
1553.8	834.3818177
1554	834.3895939
1554.2	834.3973702
1554.4	834.4051465
1554.6	834.4129228
1554.8	834.420699
1555	834.4284753
1555.2	834.4362516
1555.4	834.4440279
1555.6	834.4518041
1555.8	834.4595804
1556	834.4673567
1556.2	834.4751329
1556.4	834.4829092
1556.6	834.4906855
1556.8	834.4984618
1557	834.506238
1557.2	834.5140143
1557.4	834.5217906
1557.6	834.5295669
1557.8	834.5373431
1558	834.5451194
1558.2	834.5528957
1558.4	834.560672
1558.6	834.5684482
1558.8	834.5762245
1559	834.5840008
1559.2	834.591777
1559.4	834.5995533
1559.6	834.6073296
1559.8	834.6151059
1560	834.6228821
1560.2	834.6306584
1560.4	834.6384347
1560.6	834.646211
1560.8	834.6539872
1561	834.6617635
1561.2	834.6695398
1561.4	834.6773161
1561.6	834.6850923
1561.8	834.6928686
1562	834.7006449
1562.2	834.7084211
1562.4	834.7161974
1562.6	834.7239737
1562.8	834.73175
1563	834.7395262
1563.2	834.7473025
1563.4	834.7550788
1563.6	834.7628551
1563.8	834.7706313
1564	834.7784076
1564.2	834.7861839
1564.4	834.7939601
1564.6	834.8017364
1564.8	834.8095127
1565	834.817289
1565.2	834.8250652
1565.4	834.8328415
1565.6	834.8406178
1565.8	834.8483941
1566	834.8561703
1566.2	834.8639466
1566.4	834.8717229
1566.6	834.8794992
1566.8	834.8872754
1567	834.8950517
1567.2	834.902828
1567.4	834.9106042
1567.6	834.9183805
1567.8	834.9261568
1568	834.9339331
1568.2	834.9417093
1568.4	834.9494856
1568.6	834.9572619
1568.8	834.9650382
1569	834.9728144
1569.2	834.9805907
1569.4	834.988367
1569.6	834.9961433
1569.8	835.0039195
1570	835.0116958
1570.2	835.0194721
1570.4	835.0272483
1570.6	835.0350246
1570.8	835.0428009
1571	835.0505772
1571.2	835.0583534
1571.4	835.0661297
1571.6	835.073906
1571.8	835.0816823
1572	835.0894585
1572.2	835.0972348
1572.4	835.1050111
1572.6	835.1127873
1572.8	835.1205636
1573	835.1283399
1573.2	835.1361162
1573.4	835.1454751
1573.6	835.1595819
1573.8	835.1736887
1574	835.1877955
1574.2	835.2019023
1574.4	835.2160092
1574.6	835.230116
1574.8	835.2442228
1575	835.2583296
1575.2	835.2724364
1575.4	835.2865432
1575.6	835.3006501
1575.8	835.3147569
1576	835.3288637
1576.2	835.3429705
1576.4	835.3570773
1576.6	835.3711841
1576.8	835.385291
1577	835.3993978
1577.2	835.4135046
1577.4	835.4276114
1577.6	835.4417182
1577.8	835.455825
1578	835.4699319
1578.2	835.4840387
1578.4	835.4981455
1578.6	835.5122523
1578.8	835.5263591
1579	835.5404659
1579.2	835.5545728
1579.4	835.5686796
1579.6	835.5827864
1579.8	835.5968932
1580	835.611
1580.2	835.6251068
1580.4	835.6392137
1580.6	835.6533205
1580.8	835.6674273
1581	835.6815341
1581.2	835.6956409
1581.4	835.7097477
1581.6	835.7238546
1581.8	835.7379614
1582	835.7520682
1582.2	835.766175
1582.4	835.7802818
1582.6	835.7943887
1582.8	835.8084955
1583	835.8226023
1583.2	835.8367091
1583.4	835.8508159
1583.6	835.8649227
1583.8	835.8790295
1584	835.8931364
1584.2	835.9072432
1584.4	835.92135
1584.6	835.9354568
1584.8	835.9495636
1585	835.9636704
1585.2	835.9777773
1585.4	835.9918841
1585.6	836.0059909
1585.8	836.0200977
1586	836.0342045
1586.2	836.0483113
1586.4	836.0624182
1586.6	836.076525
1586.8	836.0906318
1587	836.1047386
1587.2	836.1188454
1587.4	836.1329522
1587.6	836.1470591
1587.8	836.1611659
1588	836.1752727
1588.2	836.1893795
1588.4	836.2034863
1588.6	836.2175932
1588.8	836.2317
1589	836.2458068
1589.2	836.2599136
1589.4	836.2740204
1589.6	836.2881272
1589.8	836.3022341
1590	836.3163409
1590.2	836.3304477
1590.4	836.3445545
1590.6	836.3586613
1590.8	836.3727681
1591	836.3868749
1591.2	836.3978104
1591.4	836.4055747
1591.6	836.4133389
1591.8	836.4211031
1592	836.4288673
1592.2	836.4366315
1592.4	836.4443958
1592.6	836.45216
1592.8	836.4599242
1593	836.4676884
1593.2	836.4754526
1593.4	836.4832168
1593.6	836.4909811
1593.8	836.4987453
1594	836.5065095
1594.2	836.5142737
1594.4	836.5220379
1594.6	836.5298022
1594.8	836.5375664
1595	836.5453306
1595.2	836.5530948
1595.4	836.560859
1595.6	836.5686232
1595.8	836.5763875
1596	836.5841517
1596.2	836.5919159
1596.4	836.5996801
1596.6	836.6074443
1596.8	836.6152085
1597	836.6229727
1597.2	836.630737
1597.4	836.6385012
1597.6	836.6462654
1597.8	836.6540296
1598	836.6617938
1598.2	836.6695581
1598.4	836.6773223
1598.6	836.6850865
1598.8	836.6928507
1599	836.7006149
1599.2	836.7083791
1599.4	836.7161434
1599.6	836.7239076
1599.8	836.7316718
1600	836.739436
1600.2	836.7472002
1600.4	836.7549644
1600.6	836.7627287
1600.8	836.7704929
1601	836.7782571
1601.2	836.7860213
1601.4	836.7937855
1601.6	836.8015498
1601.8	836.8093139
1602	836.8170782
1602.2	836.8248424
1602.4	836.8326066
1602.6	836.8403708
1602.8	836.848135
1603	836.8558993
1603.2	836.8636635
1603.4	836.8714277
1603.6	836.8791919
1603.8	836.8869561
1604	836.8947203
1604.2	836.9024846
1604.4	836.9102488
1604.6	836.918013
1604.8	836.9257772
1605	836.9335414
1605.2	836.9413057
1605.4	836.9490699
1605.6	836.9568341
1605.8	836.9645983
1606	836.9723625
1606.2	836.9801267
1606.4	836.9878909
1606.6	836.9956552
1606.8	837.0034194
1607	837.0111836
1607.2	837.0189478
1607.4	837.026712
1607.6	837.0344762
1607.8	837.0422405
1608	837.0500047
1608.2	837.0577689
1608.4	837.0655331
1608.6	837.0732973
1608.8	837.0810616
1609	837.0888258
1609.2	837.09659
1609.4	837.1043542
1609.6	837.1121184
1609.8	837.1198826
1610	837.1276469
1610.2	837.1354111
1610.4	837.1431753
1610.6	837.1509395
1610.8	837.1587037
1611	837.1664679
1611.2	837.1742321
1611.4	837.1819964
1611.6	837.1897606
1611.8	837.1975248
1612	837.205289
1612.2	837.2130532
1612.4	837.2208174
1612.6	837.2285817
1612.8	837.2363459
1613	837.2441101
1613.2	837.2518743
1613.4	837.2596385
1613.6	837.2674028
1613.8	837.275167
1614	837.2829312
1614.2	837.2906954
1614.4	837.2984596
1614.6	837.3062238
1614.8	837.3139881
1615	837.3217523
1615.2	837.3295165
1615.4	837.3372807
1615.6	837.3450449
1615.8	837.3528092
1616	837.3605733
1616.2	837.3683376
1616.4	837.3761018
1616.6	837.383866
1616.8	837.3916302
1617	837.3993944
1617.2	837.4071587
1617.4	837.4149229
1617.6	837.4226871
1617.8	837.4304513
1618	837.4382155
1618.2	837.4459797
1618.4	837.453744
1618.6	837.4615082
1618.8	837.4692724
1619	837.4770366
1619.2	837.4848008
1619.4	837.4925651
1619.6	837.5003293
1619.8	837.5080935
1620	837.5158577
1620.2	837.5236219
1620.4	837.5313861
1620.6	837.5391504
1620.8	837.5469146
1621	837.5546788
1621.2	837.562443
1621.4	837.5702072
1621.6	837.5779714
1621.8	837.5857356
1622	837.5934999
1622.2	837.6012641
1622.4	837.6090283
1622.6	837.6167925
1622.8	837.6245567
1623	837.632321
1623.2	837.6400852
1623.4	837.6480895
1623.6	837.6568141
1623.8	837.6655387
1624	837.6742633
1624.2	837.6829879
1624.4	837.6917125
1624.6	837.7004371
1624.8	837.7091617
1625	837.7178863
1625.2	837.7266109
1625.4	837.7353355
1625.6	837.7440601
1625.8	837.7527847
1626	837.7615093
1626.2	837.7702339
1626.4	837.7789585
1626.6	837.7876831
1626.8	837.7964077
1627	837.8051323
1627.2	837.8138569
1627.4	837.8225815
1627.6	837.8313061
1627.8	837.8400307
1628	837.8487553
1628.2	837.8574799
1628.4	837.8662045
1628.6	837.8749291
1628.8	837.8836537
1629	837.8923783
1629.2	837.9011028
1629.4	837.9098274
1629.6	837.918552
1629.8	837.9272766
1630	837.9360012
1630.2	837.9447258
1630.4	837.9534504
1630.6	837.962175
1630.8	837.9708996
1631	837.9796242
1631.2	837.9883488
1631.4	837.9970734
1631.6	838.005798
1631.8	838.0145226
1632	838.0232472
1632.2	838.0319718
1632.4	838.0406964
1632.6	838.049421
1632.8	838.0581456
1633	838.0668702
1633.2	838.0755948
1633.4	838.0843194
1633.6	838.093044
1633.8	838.1017686
1634	838.1104933
1634.2	838.1192179
1634.4	838.1279425
1634.6	838.1366671
1634.8	838.1453917
1635	838.1541162
1635.2	838.1628408
1635.4	838.1715654
1635.6	838.18029
1635.8	838.1890146
1636	838.1977392
1636.2	838.2064638
1636.4	838.2151884
1636.6	838.223913
1636.8	838.2326376
1637	838.2413622
1637.2	838.2500868
1637.4	838.2588114
1637.6	838.267536
1637.8	838.2762606
1638	838.2849852
1638.2	838.2937098
1638.4	838.3024344
1638.6	838.311159
1638.8	838.3198836
1639	838.3286082
1639.2	838.3373328
1639.4	838.3460574
1639.6	838.354782
1639.8	838.3635066
1640	838.3722312
1640.2	838.3809558
1640.4	838.3896804
1640.6	838.398405
1640.8	838.4071296
1641	838.4158542
1641.2	838.4245788
1641.4	838.4333034
1641.6	838.442028
1641.8	838.4507526
1642	838.4594772
1642.2	838.4682018
1642.4	838.4769264
1642.6	838.485651
1642.8	838.4943756
1643	838.5031002
1643.2	838.5118248
1643.4	838.5205494
1643.6	838.529274
1643.8	838.5379986
1644	838.5467232
1644.2	838.5554478
1644.4	838.5641724
1644.6	838.572897
1644.8	838.5816216
1645	838.5903462
1645.2	838.5990708
1645.4	838.6077954
1645.6	838.61652
1645.8	838.6252446
1646	838.6339692
1646.2	838.6426938
1646.4	838.6514184
1646.6	838.660143
1646.8	838.6688676
1647	838.6775922
1647.2	838.6863168
1647.4	838.6950414
1647.6	838.703766
1647.8	838.7124906
1648	838.7212152
1648.2	838.7299398
1648.4	838.7386644
1648.6	838.747389
1648.8	838.7561136
1649	838.7648382
1649.2	838.7735628
1649.4	838.7822874
1649.6	838.791012
1649.8	838.7997366
1650	838.8084612
1650.2	838.8171858
1650.4	838.8259104
1650.6	838.834635
1650.8	838.8433596
1651	838.8520842
1651.2	838.8855071
1651.4	838.9308202
1651.6	838.9761334
1651.8	839.0214466
1652	839.0667598
1652.2	839.1172987
1652.4	839.1695796
1652.6	839.2218605
1652.8	839.2741415
1653	839.3264224
1653.2	839.3787033
1653.4	839.4309843
1653.6	839.4832652
1653.8	839.5355461
1654	839.587827
1654.2	839.640108
1654.4	839.6923889
1654.6	839.7446698
1654.8	839.7969507
1655	839.8492316
1655.2	839.9015125
1655.4	839.9537934
1655.6	840.0060743
1655.8	840.0583554
1656	840.1106363
1656.2	840.1629172
1656.4	840.2151981
1656.6	840.267479
1656.8	840.3197599
1657	840.3720408
1657.2	840.4243219
1657.4	840.4766028
1657.6	840.5288837
1657.8	840.5811646
1658	840.6334455
1658.2	840.6857264
1658.4	840.7380073
1658.6	840.7902884
1658.8	840.8425693
1659	840.8948502
1659.2	840.9471311
1659.4	840.999412
1659.6	841.0516929
1659.8	841.1039738
1660	841.1562549
1660.2	841.2085358
1660.4	841.2608167
1660.6	841.3130976
1660.8	841.3653785
1661	841.4176594
1661.2	841.4699403
1661.4	841.5222213
1661.6	841.5745022
1661.8	841.6267831
1662	841.679064
1662.2	841.7313449
1662.4	841.7836259
1662.6	841.8359068
1662.8	841.8881878
1663	841.9404687
1663.2	841.9927496
1663.4	842.0450305
1663.6	842.0973114
1663.8	842.1495923
1664	842.2018732
1664.2	842.2541543
1664.4	842.3064352
1664.6	842.3587161
1664.8	842.410997
1665	842.4632779
1665.2	842.5155588
1665.4	842.5678397
1665.6	842.6201208
1665.8	842.6724017
1666	842.7246826
1666.2	842.7769635
1666.4	842.8292444
1666.6	842.8815253
1666.8	842.9338062
1667	842.9860873
1667.2	843.0383682
1667.4	843.0906491
1667.6	843.14293
1667.8	843.1952109
1668	843.2474918
1668.2	843.2997727
1668.4	843.3520537
1668.6	843.4043346
1668.8	843.4566156
1669	843.5088965
1669.2	843.5611774
1669.4	843.6134583
1669.6	843.6657392
1669.8	843.7180201
1670	843.7703011
1670.2	843.822582
1670.4	843.8748629
1670.6	843.9271438
1670.8	843.9794247
1671	844.0317056
1671.2	844.0839865
1671.4	844.1362676
1671.6	844.1885485
1671.8	844.2408294
1672	844.2931103
1672.2	844.3453912
1672.4	844.3976721
1672.6	844.449953
1672.8	844.5022341
1673	844.554515
1673.2	844.6067959
1673.4	844.6590768
1673.6	844.7113577
1673.8	844.7636386
1674	844.8159195
1674.2	844.8682006
1674.4	844.9204815
1674.6	844.9727624
1674.8	845.0250433
1675	845.0773242
1675.2	845.1296051
1675.4	845.181886
1675.6	845.2341671
1675.8	845.286448
1676	845.3387289
1676.2	845.3910098
