Profundidade [m]	Idade [Ma]
1537.0	48.341703
1537.2	48.344218
1537.4	48.346734
1537.6	48.349249
1537.8	48.351765
1538.0	48.35428
1538.2	48.356796
1538.4	48.359311
1538.6	48.361827
1538.8	48.364342
1539.0	48.366858
1539.2	48.369374
1539.4	48.371889
1539.6	48.374405
1539.8	48.37692
1540.0	48.379436
1540.2	48.381951
1540.4	48.384467
1540.6	48.386982
1540.8	48.389498
1541.0	48.392013
1541.2	48.394529
1541.4	48.397044
1541.6	48.39956
1541.8	48.402075
1542.0	48.404591
1542.2	48.407106
1542.4	48.409622
1542.6	48.412137
1542.8	48.414653
1543.0	48.417169
1543.2	48.419684
1543.4	48.4222
1543.6	48.424715
1543.8	48.427231
1544.0	48.429746
1544.2	48.432262
1544.4	48.434777
1544.6	48.437293
1544.8	48.439808
1545.0	48.442324
1545.2	48.444839
1545.4	48.447355
1545.6	48.44987
1545.8	48.452386
1546.0	48.454901
1546.2	48.457417
1546.4	48.459933
1546.6	48.462448
1546.8	48.464964
1547.0	48.467479
1547.2	48.469995
1547.4	48.47251
1547.6	48.475026
1547.8	48.477541
1548.0	48.480057
1548.2	48.482572
1548.4	48.485088
1548.6	48.487603
1548.8	48.490119
1549.0	48.492634
1549.2	48.49515
1549.4	48.497665
1549.6	48.500181
1549.8	48.502696
1550.0	48.505212
1550.2	48.507728
1550.4	48.510243
1550.6	48.512759
1550.8	48.515274
1551.0	48.51779
1551.2	48.520305
1551.4	48.522821
1551.6	48.525336
1551.8	48.527852
1552.0	48.530367
1552.2	48.532883
1552.4	48.535398
1552.6	48.537914
1552.8	48.540429
1553.0	48.542945
1553.2	48.54546
1553.4	48.547976
1553.6	48.550492
1553.8	48.553007
1554.0	48.555523
1554.2	48.558038
1554.4	48.560554
1554.6	48.563069
1554.8	48.565585
1555.0	48.5681
1555.2	48.570616
1555.4	48.573131
1555.6	48.575647
1555.8	48.578162
1556.0	48.580678
1556.2	48.583193
1556.4	48.585709
1556.6	48.588224
1556.8	48.59074
1557.0	48.593255
1557.2	48.595771
1557.4	48.598287
1557.6	48.600802
1557.8	48.603318
1558.0	48.605833
1558.2	48.608349
1558.4	48.610864
1558.6	48.61338
1558.8	48.615895
1559.0	48.618411
1559.2	48.620926
1559.4	48.623442
1559.6	48.625957
1559.8	48.628473
1560.0	48.630988
1560.2	48.633504
1560.4	48.636019
1560.6	48.638535
1560.8	48.641051
1561.0	48.643566
1561.2	48.646082
1561.4	48.648597
1561.6	48.651113
1561.8	48.653628
1562.0	48.656144
1562.2	48.658659
1562.4	48.661175
1562.6	48.66369
1562.8	48.666206
1563.0	48.668721
1563.2	48.671237
1563.4	48.673752
1563.6	48.676268
1563.8	48.678783
1564.0	48.681299
1564.2	48.683814
1564.4	48.68633
1564.6	48.688846
1564.8	48.691361
1565.0	48.693877
1565.2	48.696392
1565.4	48.698908
1565.6	48.701423
1565.8	48.703939
1566.0	48.706454
1566.2	48.70897
1566.4	48.711485
1566.6	48.714001
1566.8	48.716516
1567.0	48.719032
1567.2	48.721547
1567.4	48.724063
1567.6	48.726578
