Profundidade [m]	Produtividade Primária [gC/m²/yr]
1589.8	157.781114
1590	157.7801316
1590.2	157.7791493
1590.4	157.778167
1590.6	157.7771847
1590.8	157.7762024
1591	157.7752202
1591.2	157.7744588
1591.4	157.7739182
1591.6	157.7733776
1591.8	157.7728371
1592	157.7722965
1592.2	157.7717559
1592.4	157.7712154
1592.6	157.7706748
1592.8	157.7701343
1593	157.7695937
1593.2	157.7690532
1593.4	157.7685127
1593.6	157.7679722
1593.8	157.7674317
1594	157.7668912
1594.2	157.7663507
1594.4	157.7658102
1594.6	157.7652697
1594.8	157.7647292
1595	157.7641888
1595.2	157.7636483
1595.4	157.7631078
1595.6	157.7625674
1595.8	157.762027
1596	157.7614865
1596.2	157.7609461
1596.4	157.7604057
1596.6	157.7598653
1596.8	157.7593249
1597	157.7587845
1597.2	157.7582441
1597.4	157.7577037
1597.6	157.7571633
1597.8	157.7566229
1598	157.7560826
1598.2	157.7555422
1598.4	157.7550019
1598.6	157.7544615
1598.8	157.7539212
1599	157.7533809
1599.2	157.7528405
1599.4	157.7523002
1599.6	157.7517599
1599.8	157.7512196
1600	157.7506793
1600.2	157.750139
1600.4	157.7495988
1600.6	157.7490585
1600.8	157.7485182
1601	157.7479779
1601.2	157.7474377
1601.4	157.7468974
1601.6	157.7463572
1601.8	157.745817
1602	157.7452767
1602.2	157.7447365
1602.4	157.7441963
1602.6	157.7436561
1602.8	157.7431159
1603	157.7425757
1603.2	157.7420355
1603.4	157.7414954
1603.6	157.7409552
1603.8	157.740415
1604	157.7398749
1604.2	157.7393347
1604.4	157.7387946
1604.6	157.7382544
1604.8	157.7377143
1605	157.7371742
1605.2	157.7366341
1605.4	157.7360939
1605.6	157.7355538
1605.8	157.7350137
1606	157.7344737
1606.2	157.7339336
1606.4	157.7333935
1606.6	157.7328534
1606.8	157.7323134
1607	157.7317733
1607.2	157.7312333
1607.4	157.7306932
1607.6	157.7301532
1607.8	157.7296132
1608	157.7290731
1608.2	157.7285331
1608.4	157.7279931
1608.6	157.7274531
1608.8	157.7269131
1609	157.7263731
1609.2	157.7258332
1609.4	157.7252932
1609.6	157.7247532
1609.8	157.7242133
1610	157.7236733
1610.2	157.7231334
1610.4	157.7225934
1610.6	157.7220535
1610.8	157.7215136
1611	157.7209737
1611.2	157.7204337
1611.4	157.7198938
1611.6	157.7193539
1611.8	157.718814
1612	157.7182742
1612.2	157.7177343
1612.4	157.7171944
1612.6	157.7166546
1612.8	157.7161147
1613	157.7155748
1613.2	157.715035
1613.4	157.7144952
1613.6	157.7139553
1613.8	157.7134155
1614	157.7128757
1614.2	157.7123359
1614.4	157.7117961
1614.6	157.7112563
1614.8	157.7107165
1615	157.7101767
1615.2	157.709637
1615.4	157.7090972
1615.6	157.7085574
1615.8	157.7080177
1616	157.7074779
1616.2	157.7069382
1616.4	157.7063985
1616.6	157.7058587
1616.8	157.705319
1617	157.7047793
1617.2	157.7042396
1617.4	157.7036999
1617.6	157.7031602
1617.8	157.7026205
1618	157.7020808
1618.2	157.7015412
1618.4	157.7010015
1618.6	157.7004618
1618.8	157.6999222
1619	157.6993826
1619.2	157.6988429
1619.4	157.6983033
1619.6	157.6977637
1619.8	157.697224
1620	157.6966844
1620.2	157.6961448
1620.4	157.6956052
1620.6	157.6950656
1620.8	157.6945261
1621	157.6939865
1621.2	157.6934469
1621.4	157.6929074
1621.6	157.6923678
1621.8	157.6918283
1622	157.6912887
1622.2	157.6907492
1622.4	157.6902097
1622.6	157.6896701
1622.8	157.6891306
1623	157.6885911
1623.2	157.6880516
1623.4	157.6874954
1623.6	157.6868892
1623.8	157.686283
1624	157.6856768
1624.2	157.6850706
1624.4	157.6844644
1624.6	157.6838583
1624.8	157.6832521
1625	157.682646
1625.2	157.6820398
1625.4	157.6814337
1625.6	157.6808275
1625.8	157.6802214
1626	157.6796153
1626.2	157.6790092
1626.4	157.6784031
1626.6	157.677797
1626.8	157.6771909
1627	157.6765849
1627.2	157.6759788
1627.4	157.6753728
1627.6	157.6747667
1627.8	157.6741607
1628	157.6735546
1628.2	157.6729486
1628.4	157.6723426
