Profundidade [m],Taxa de sedimentação [cm/ka]
1134.2,6.1442269665
1134.4,6.1442271995
1134.6,6.1442274325
1134.8,6.1442274325
1135.0,6.1442271994999995
1135.2,6.1442269665
1135.4,6.1442267335
1135.6,6.144226500499999
1135.8,6.1442262675
1136.0,6.1442260345
1136.2,6.144225801499999
1136.4,6.1442255685
1136.6,6.144225452
1136.8,6.144225452
1137.0,6.144225452
1137.2,6.144225452
1137.4,6.144225452
1137.6,6.144225452
1137.8,6.144225452
1138.0,6.144225452
1138.2,6.144225452
1138.4,6.275370466282638
1138.6,6.537660494727149
1138.8,6.79995052317166
1139.0,7.062240551616171
1139.2,7.3245305800606815
1139.4,7.586820608505192
1139.6,7.849110636949703
1139.8,8.111400665394214
1140.0,8.373690693838725
1140.2,8.482440683211806
1140.4,8.437650633656245
1140.6,8.392860584100683
1140.8,8.348070534545123
1141.0,8.303280484989562
1141.2,8.258490435434
1141.4,8.21370038587844
1141.6,8.168910336322877
1141.8,8.124120286767317
1142.0,7.970081380827345
1142.2,7.706793618605056
1142.4,7.443505856382767
1142.6,7.1802180941604785
1142.8,6.91693033193819
1143.0,6.653642569715901
1143.2,6.390354807493612
1143.4,6.127067045271323
1143.6,5.863779283049034
1143.8,5.732135402
1144.0,5.732135402
1144.2,5.732135402
1144.4,5.732135402
1144.6,5.732135402
1144.8,5.732135402
1145.0,5.732135402
1145.2,5.732135402
1145.4,5.732135402
1145.6,5.732135402
1145.8,5.732135402
1146.0,5.732135402
1146.2,5.732135402
1146.4,5.732135402
1146.6,5.732135402
1146.8,5.732135402
1147.0,5.732135402
1147.2,5.732135402
1147.4,5.732135402
1147.6,5.732135402
1147.8,5.732135402
1148.0,5.732135402
1148.2,5.732135402
1148.4,5.732135402
1148.6,5.732135402
1148.8,5.732135402
1149.0,5.732135402
1149.2,5.732135402
1149.4,5.732135402
1149.6,5.732135402
1149.8,5.732135402
1150.0,5.732135402
1150.2,5.732135402
1150.4,5.732135402
1150.6,5.732135402
1150.8,5.732135402
1151.0,5.732135402
1151.2,5.732135402
1151.4,5.732135402
1151.6,5.732135402
1151.8,5.732135402
1152.0,5.732135402
1152.2,5.732135402
1152.4,5.732135402
1152.6,5.732135402
1152.8,5.732135402
1153.0,5.732135402
1153.2,5.732135402
1153.4,5.732135402
1153.6,5.732135402
1153.8,5.732135402
1154.0,5.732135402
1154.2,5.732135402
1154.4,5.732135402
1154.6,5.732135402
1154.8,5.732135402
1155.0,5.732135402
1155.2,5.732135402
1155.4,5.732135402
1155.6,5.732135402
1155.8,5.732135402
1156.0,5.732135402
1156.2,5.732135402
1156.4,5.732135402
1156.6,5.732135402
1156.8,5.732135402
1157.0,5.732135402
1157.2,5.732135402
1157.4,5.732135402
1157.6,5.732135402
1157.8,5.732135402
1158.0,5.732135402
1158.2,5.748701687008383
1158.4,5.781834257008387
1158.6,5.814966827008392
1158.8,5.848099397008395
1159.0,5.8812319670084
1159.2,5.914364537008404
1159.4,5.947497107008409
1159.6,5.980629677008412
1159.8,6.013762247008417
1160.0,6.048713125564904
1160.2,6.085482312676024
1160.4,6.1222514997871444
1160.6,6.159020686898264
1160.8,6.195789874009384
1161.0,6.232559061120505
1161.2,6.269328248231625
1161.4,6.306097435342746
1161.6,6.342866622453866
1161.8,6.361251216
1162.0,6.361251216
1162.2,6.361251216
1162.4,6.361251216
1162.6,6.361251216
1162.8,6.361251216
1163.0,6.361251216
1163.2,6.361251216
1163.4,6.361251216
1163.6,6.361251216
1163.8,6.361251216
1164.0,6.361251216
1164.2,6.361251216
1164.4,6.361251216
1164.6,6.361251216
1164.8,6.361251216
1165.0,6.361251216
1165.2,6.361251216
1165.4,6.361251216
1165.6,6.361251216
1165.8,6.361251216
1166.0,6.361251216
1166.2,6.361251216
1166.4,6.361251216
1166.6,6.361251216
1166.8,6.361251216
1167.0,6.361251216
1167.2,6.361251216
1167.4,6.361251216
1167.6,6.361251216
1167.8,6.361251216
1168.0,6.361251216
1168.2,6.361251216
1168.4,6.361251216
1168.6,6.361251216
1168.8,6.361251216
1169.0,6.361251340888889
1169.2,6.361251590666667
1169.4,6.361251840444445
1169.6,6.361252090222222
1169.8,6.36125234
1170.0,6.361252589777778
1170.2,6.361252839555555
1170.4,6.361253089333333
1170.6,6.361253339111111
1170.8,6.361253339111111
1171.0,6.361253089333333
1171.2,6.361252839555555
1171.4,6.361252589777778
1171.6,6.36125234
1171.8,6.361252090222222
1172.0,6.361251840444445
1172.2,6.361251590666667
1172.4,6.361251340888889
