Profundidade [m]	Idade [Ma]
1880.6	52.181082
1880.8	52.183064
1881.0	52.185047
1881.2	52.18703
1881.4	52.189013
1881.6	52.190996
1881.8	52.192979
1882.0	52.194962
1882.2	52.196945
1882.4	52.198927
1882.6	52.20091
1882.8	52.202893
1883.0	52.204876
1883.2	52.206859
1883.4	52.208842
1883.6	52.210825
1883.8	52.212807
1884.0	52.21479
1884.2	52.216773
1884.4	52.218756
1884.6	52.220739
1884.8	52.222722
1885.0	52.224705
1885.2	52.226687
1885.4	52.22867
1885.6	52.230653
1885.8	52.232636
1886.0	52.234619
1886.2	52.236602
1886.4	52.238585
1886.6	52.240568
1886.8	52.24255
1887.0	52.244533
1887.2	52.246516
1887.4	52.248499
1887.6	52.250482
1887.8	52.252465
1888.0	52.254448
1888.2	52.25643
1888.4	52.258413
1888.6	52.260396
1888.8	52.262379
1889.0	52.264362
1889.2	52.266345
1889.4	52.268328
1889.6	52.27031
1889.8	52.272293
1890.0	52.274276
1890.2	52.276259
1890.4	52.278242
1890.6	52.280225
1890.8	52.282208
1891.0	52.284191
1891.2	52.286173
1891.4	52.288156
1891.6	52.290139
1891.8	52.292122
1892.0	52.294105
1892.2	52.296088
1892.4	52.298071
1892.6	52.300053
1892.8	52.302036
1893.0	52.304019
1893.2	52.306002
1893.4	52.307985
1893.6	52.309968
1893.8	52.311951
1894.0	52.313934
1894.2	52.315916
1894.4	52.317899
1894.6	52.319882
1894.8	52.321865
1895.0	52.323848
1895.2	52.325831
1895.4	52.327814
1895.6	52.329796
1895.8	52.331779
1896.0	52.333762
1896.2	52.335745
1896.4	52.337728
1896.6	52.339711
1896.8	52.341694
1897.0	52.343676
1897.2	52.345659
1897.4	52.347642
1897.6	52.349625
1897.8	52.351608
1898.0	52.353591
1898.2	52.355574
1898.4	52.357557
1898.6	52.359539
1898.8	52.361522
1899.0	52.363505
1899.2	52.365488
1899.4	52.367471
1899.6	52.369454
1899.8	52.371437
1900.0	52.373419
1900.2	52.375402
1900.4	52.377385
1900.6	52.379368
1900.8	52.381351
1901.0	52.383334
1901.2	52.385317
1901.4	52.387299
1901.6	52.389282
1901.8	52.391265
1902.0	52.393248
1902.2	52.395231
1902.4	52.397214
1902.6	52.399197
1902.8	52.40118
1903.0	52.403162
1903.2	52.405145
1903.4	52.407128
1903.6	52.409111
1903.8	52.411094
1904.0	52.413077
1904.2	52.41506
1904.4	52.417042
1904.6	52.419025
1904.8	52.421008
1905.0	52.422991
1905.2	52.424974
1905.4	52.426957
1905.6	52.42894
1905.8	52.430922
1906.0	52.432905
1906.2	52.434888
1906.4	52.436871
1906.6	52.438854
1906.8	52.440837
1907.0	52.44282
1907.2	52.444803
1907.4	52.446785
1907.6	52.448768
1907.8	52.450751
1908.0	52.452734
1908.2	52.454717
1908.4	52.4567
1908.6	52.458683
1908.8	52.460665
1909.0	52.462648
1909.2	52.464631
1909.4	52.466614
1909.6	52.468597
1909.8	52.47058
1910.0	52.472563
1910.2	52.474546
1910.4	52.476528
1910.6	52.478511
1910.8	52.480494
1911.0	52.482477
1911.2	52.48446
1911.4	52.486443
1911.6	52.488426
1911.8	52.490408
1912.0	52.492391
1912.2	52.494374
1912.4	52.496357
1912.6	52.49834
1912.8	52.500323
1913.0	52.502306
1913.2	52.504288
1913.4	52.506271
1913.6	52.508254
1913.8	52.510237
1914.0	52.51222
1914.2	52.514203
1914.4	52.516186
1914.6	52.518169
1914.8	52.520151
1915.0	52.522134
1915.2	52.524117
1915.4	52.5261
1915.6	52.528083
1915.8	52.530066
1916.0	52.532049
1916.2	52.534031
1916.4	52.536014
1916.6	52.537997
1916.8	52.53998
1917.0	52.541963
1917.2	52.543946
1917.4	52.545929
1917.6	52.547911
1917.8	52.549894
1918.0	52.551877
1918.2	52.55386
1918.4	52.555843
1918.6	52.557826
1918.8	52.559809
1919.0	52.561792
1919.2	52.563774
1919.4	52.565757
1919.6	52.56774
1919.8	52.569723
1920.0	52.571706
1920.2	52.573689
1920.4	52.575672
1920.6	52.577654
1920.8	52.579637
1921.0	52.58162
1921.2	52.583603
1921.4	52.585586
1921.6	52.587569
1921.8	52.589552
1922.0	52.591534
1922.2	52.593517
1922.4	52.5955
1922.6	52.597483
1922.8	52.599466
1923.0	52.601449
1923.2	52.603432
1923.4	52.605415
1923.6	52.607397
1923.8	52.60938
1924.0	52.611363
1924.2	52.613346
1924.4	52.615329
1924.6	52.617312
1924.8	52.619295
1925.0	52.621277
1925.2	52.62326
1925.4	52.625243
1925.6	52.627226
1925.8	52.629209
1926.0	52.631192
1926.2	52.633175
1926.4	52.635157
1926.6	52.63714
1926.8	52.639123
1927.0	52.641106
1927.2	52.643089
1927.4	52.645072
1927.6	52.647055
1927.8	52.649038
1928.0	52.65102
1928.2	52.653003
1928.4	52.654986
1928.6	52.656969
1928.8	52.658952
1929.0	52.660935
1929.2	52.662918
1929.4	52.6649
1929.6	52.666883
1929.8	52.668866
1930.0	52.670849
1930.2	52.672832
1930.4	52.674815
1930.6	52.676798
1930.8	52.678781
1931.0	52.680763
1931.2	52.682746
1931.4	52.684729
1931.6	52.686712
1931.8	52.688695
1932.0	52.690678
1932.2	52.692661
1932.4	52.694643
1932.6	52.696626
1932.8	52.698609
1933.0	52.700592
1933.2	52.702575
1933.4	52.704558
1933.6	52.706541
1933.8	52.708523
1934.0	52.710506
1934.2	52.712489
1934.4	52.714472
1934.6	52.716455
1934.8	52.718438
1935.0	52.720421
1935.2	52.722404
1935.4	52.724386
1935.6	52.726369
1935.8	52.728352
1936.0	52.730335
1936.2	52.732318
1936.4	52.734301
1936.6	52.736284
1936.8	52.738266
1937.0	52.740249
1937.2	52.742232
1937.4	52.744215
1937.6	52.746198
1937.8	52.748181
1938.0	52.750164
1938.2	52.752146
1938.4	52.754129
1938.6	52.756112
1938.8	52.758095
1939.0	52.760078
1939.2	52.762061
1939.4	52.764044
1939.6	52.766027
1939.8	52.768009
1940.0	52.769992
1940.2	52.771975
1940.4	52.773958
1940.6	52.775941
1940.8	52.777924
1941.0	52.779907
1941.2	52.781889
1941.4	52.783872
1941.6	52.785855
1941.8	52.787838
1942.0	52.789821
1942.2	52.791804
1942.4	52.793787
1942.6	52.795769
1942.8	52.797752
1943.0	52.799735
1943.2	52.801718
1943.4	52.803701
1943.6	52.805684
1943.8	52.808199
1944.0	52.811603
1944.2	52.815006
1944.4	52.818409
1944.6	52.821813
1944.8	52.825216
1945.0	52.82862
1945.2	52.832023
1945.4	52.835426
1945.6	52.83883
1945.8	52.842233
1946.0	52.845636
1946.2	52.84904
1946.4	52.852443
1946.6	52.855846
1946.8	52.85925
1947.0	52.862653
1947.2	52.866057
1947.4	52.86946
1947.6	52.872863
1947.8	52.876267
1948.0	52.87967
1948.2	52.883073
1948.4	52.886477
1948.6	52.88988
1948.8	52.893283
1949.0	52.896687
1949.2	52.90009
1949.4	52.903493
1949.6	52.906897
1949.8	52.9103
1950.0	52.913704
1950.2	52.917107
1950.4	52.92051
1950.6	52.923914
1950.8	52.927317
1951.0	52.93072
1951.2	52.934124
1951.4	52.937527
1951.6	52.94093
1951.8	52.944334
1952.0	52.947737
1952.2	52.951141
1952.4	52.954544
1952.6	52.957947
1952.8	52.961351
1953.0	52.964754
1953.2	52.968157
1953.4	52.971561
1953.6	52.974964
1953.8	52.978367
1954.0	52.981771
1954.2	52.985174
1954.4	52.988578
1954.6	52.991981
1954.8	52.995384
1955.0	52.998788
1955.2	53.002191
1955.4	53.005594
1955.6	53.008998
1955.8	53.012401
1956.0	53.015804
1956.2	53.019208
1956.4	53.022611
1956.6	53.026014
1956.8	53.029418
1957.0	53.032821
1957.2	53.036225
1957.4	53.039628
1957.6	53.043031
1957.8	53.046435
1958.0	53.049838
1958.2	53.053241
1958.4	53.056645
1958.6	53.060048
1958.8	53.063451
1959.0	53.066855
1959.2	53.070258
1959.4	53.073662
1959.6	53.077065
1959.8	53.080468
1960.0	53.083872
1960.2	53.087275
1960.4	53.090678
1960.6	53.094082
1960.8	53.097485
1961.0	53.100888
1961.2	53.104292
1961.4	53.107695
1961.6	53.111099
1961.8	53.114502
1962.0	53.117905
1962.2	53.121309
1962.4	53.124712
1962.6	53.128115
1962.8	53.131519
1963.0	53.134922
1963.2	53.138325
1963.4	53.141729
1963.6	53.145132
1963.8	53.148535
1964.0	53.151939
1964.2	53.155342
1964.4	53.158746
1964.6	53.162149
1964.8	53.165552
1965.0	53.168956
1965.2	53.172359
1965.4	53.175762
1965.6	53.179166
1965.8	53.182569
1966.0	53.185972
1966.2	53.189376
1966.4	53.192779
1966.6	53.196183
1966.8	53.199586
1967.0	53.202989
1967.2	53.206393
1967.4	53.209796
1967.6	53.213503
