Unnamed: 0,Profundidade [m],COₘₐ [%],qCO [%],rCO [%],COT [%],IH [mg HC/g COT],IO  [mg CO₂/g COT],δ¹³C [‰],of,of_class
0,2062.5,0.12161478537501895,0.0985323334346706,0.008211027786222512,0.22835814659591205,389.9922481708194,84.36266871331081,-19.11466074307969,-99.0,??
1,2063.0,0.12186738804097592,0.09559564909652264,0.00796630409137683,0.2254293412288753,392.74428069842463,83.25567135951016,-19.095489280527836,-99.0,??
2,2063.5,0.12212403637925301,0.10021019684938448,0.008350849737448707,0.2306850829660862,388.909040611395,84.7983859113714,-19.12220668338129,-99.0,??
3,2064.0,0.1223800895700024,0.10610329251957573,0.00884194104329794,0.2373253231328761,384.20800981846253,86.68936234268584,-19.154955437219694,-99.0,??
4,2064.5,0.1226373876575869,0.1015197057654822,0.008459975480456794,0.2326170689035259,388.1593789936095,85.0999351913346,-19.127429045213056,-99.0,??
5,2065.0,0.12289570715641505,0.11148164880810807,0.009290137400675693,0.2436674933651989,380.3380115990835,88.24605825564953,-19.181914975377172,-99.0,??
6,2065.5,0.12315463463407712,0.1044015574950441,0.008700129791253619,0.2362563219203748,386.1289244817454,85.91667981520806,-19.14157378450919,-99.0,??
7,2066.0,0.12341488609574285,0.10186074701757697,0.008488395584798079,0.2337640286981179,388.41243427092087,84.99814441686551,-19.125666188225047,-99.0,??
8,2066.5,0.1236754575332985,0.1060443405225957,0.008837028376882938,0.23855682643277715,385.15551885407683,86.3082294946523,-19.14835481247722,-99.0,??
9,2067.0,0.12393715399512813,0.11167399641379472,0.009306166367816228,0.24491731677673906,380.9125672214807,88.01494487046061,-19.177912453063847,-99.0,??
10,2067.5,0.12419971039080965,0.09084038540957452,0.007570032117464488,0.22261012791784865,398.6742573763365,80.87035489805794,-19.05417933063676,-99.0,??
11,2068.0,0.12446340542719853,0.13003877269073438,0.010836564390894532,0.26533874250882744,368.2598173055095,93.10447798272764,-19.26605520528746,-99.0,??
12,2068.5,0.12472773051181565,0.11193954385100202,0.00932829532091678,0.2459955696837345,381.25340740303324,87.8778428648473,-19.17553806078785,-99.0,??
13,2069.0,0.12499285450741016,0.09693912868745168,0.008078260723954291,0.2300102439188161,393.7101773854696,82.86714213033922,-19.08876056203381,-99.0,??
14,2069.5,0.1252588184300718,0.11455140181471712,0.00954595015122639,0.2493561703960153,379.6433647280766,88.52547800825684,-19.186754088411156,-99.0,??
15,2070.0,0.12552555087073675,0.13328543096793055,0.011107119247327546,0.2699181010859949,366.8826749605042,93.65842962262859,-19.275648781174013,-99.0,??
16,2070.5,0.1257942522084194,0.13172476384569531,0.01097706365380796,0.26849607970792266,368.06835573694985,93.18149286086737,-19.267388982506645,-99.0,??
17,2071.0,0.1260624497807615,0.10256634650990916,0.008547195542492447,0.2371759918331631,389.6337678610983,84.50686641092906,-19.11715802164179,-99.0,??
18,2071.5,0.12633168909486822,0.11178498655019807,0.009315415545849805,0.2474320911909161,382.46474222680115,87.39058683461253,-19.167099548532395,-99.0,??
19,2072.0,0.12660226909023484,0.10503326106935253,0.00875277175577932,0.2403883019153667,387.9711741258888,85.17564007070986,-19.128740135302795,-99.0,??
20,2072.5,0.12687350685367135,0.10172227751606487,0.008476856459672,0.23707264082940824,390.88416481307706,84.0038977493465,-19.108447391189802,-99.0,??
21,2073.0,0.12714600592970798,0.08777109278523998,0.007314257732103312,0.22223135644705128,403.53800909002325,78.9139244334513,-19.020297015327927,-99.0,??
22,2073.5,0.12741899718308555,0.11194150427399308,0.009328458689499386,0.248688960146578,383.0780701169634,87.14387741362603,-19.16282692727509,-99.0,??
23,2074.0,0.12769311022297866,0.10480387845784556,0.008733656538153778,0.241230645218978,388.88957574397415,84.80621559961486,-19.12234228133411,-99.0,??
24,2074.5,0.12796813988422662,0.11562801777633155,0.009635668148027576,0.2532318258085858,380.67403505934396,88.11089376264593,-19.17957413778884,-99.0,??
25,2075.0,0.12824443877591393,0.12210943261957308,0.010175786051631108,0.2605296574471181,376.1915807456598,89.91394841916158,-19.210800224019003,-99.0,??
26,2075.5,0.1285214160038347,0.1312759337188618,0.010939661143238466,0.270737010865935,370.18900211793505,92.32846881098793,-19.252615940302025,-99.0,??
27,2076.0,0.12879897891948666,0.1185063758489413,0.00987553132074509,0.25718088608917306,379.12371504125633,88.73450563509014,-19.190374119937317,-99.0,??
28,2076.5,0.1290778426210667,0.1310342080062341,0.010919517333852768,0.2710315679611536,370.71515690522926,92.11682452576171,-19.248950592345594,-99.0,??
29,2077.0,0.12935750201432572,0.11305793175684542,0.009421494313070431,0.2518369280842416,383.52064364786486,86.96585345400494,-19.159743830767685,-99.0,??
30,2077.5,0.12963859867679134,0.11902338972611748,0.009918615810509734,0.2585806042134185,379.307227079029,88.66068843337938,-19.189095721471933,-99.0,??
31,2078.0,0.12991986063814406,0.1234696208769277,0.010289135073077271,0.26367861658814906,376.3543260820799,89.84848456473637,-19.209666492461913,-99.0,??
32,2078.5,0.1302019002716404,0.1155886095192864,0.009632384126607165,0.255422893917534,382.18376118923334,87.50361066770168,-19.169056944524442,-99.0,??
33,2079.0,0.1304857954890603,0.11912139999870774,0.009926783333225664,0.2595339788209937,379.79421024742953,88.46480082182049,-19.18570325445611,-99.0,??
34,2079.5,0.13076981051734285,0.13536190910423596,0.011280159092019626,0.2774118787135984,369.0535019904074,92.78522054767885,-19.260526165909525,-99.0,??
35,2080.0,0.13105535449454825,0.11613964335712446,0.009678303613093686,0.2568733014647664,382.3358214626506,87.44244484985515,-19.16799764823771,-99.0,??
36,2080.5,0.13134157842891098,0.10017805576980887,0.00834817131415072,0.2398678055128705,395.1256838384781,82.29775863575827,-19.07889973056341,-99.0,??
37,2081.0,0.13162892090662942,0.1082117482761742,0.009017645689681164,0.2488583148724848,388.74951761349365,84.86255358917896,-19.1233179671869,-99.0,??
38,2081.5,0.13191723962726598,0.0977672805879406,0.008147273382328346,0.2378317935975349,397.55878933195305,81.31904878557395,-19.061950006901004,-99.0,??
39,2082.0,0.13220696975511068,0.12558532747249276,0.010465443956040987,0.2682577411836444,376.39373089889375,89.83263408786074,-19.209391986996472,-99.0,??
40,2082.5,0.13249683014838573,0.12762618783750934,0.01063551565312576,0.2707585336390208,375.20202033776667,90.31199631357254,-19.21769379090545,-99.0,??
41,2083.0,0.13278825228599744,0.13333510419071626,0.011111258682559688,0.2772346151592734,371.6488907455369,91.74123271134586,-19.242445929637835,-99.0,??
42,2083.5,0.13308086638950206,0.13487963408168913,0.01123996950680739,0.2792004699779985,370.8532231008261,92.06128778640932,-19.247988782893128,-99.0,??
43,2084.0,0.1333739811619292,0.13571175232978128,0.01130931269414842,0.2803950461858589,370.5159393022876,92.19695924694494,-19.250338400366086,-99.0,??
44,2084.5,0.1336686141219864,0.12408139002281082,0.010340115835234198,0.2680901199800314,378.3654934011756,89.03949815997656,-19.19565611338507,-99.0,??
45,2085.0,0.13396369962331592,0.13132995244080534,0.010944162703400371,0.27623781476752163,373.6971137672858,90.91734075428278,-19.22817740971104,-99.0,??
46,2085.5,0.13425953895469833,0.14488773862050766,0.012073978218375579,0.29122125579358155,365.5038411418192,94.21306165306602,-19.28525414036036,-99.0,??
47,2086.0,0.13455737162339193,0.1448547374432687,0.012071228120272335,0.291483337186933,365.7117121903866,94.12944610768723,-19.283806049909664,-99.0,??
48,2086.5,0.13485521563872718,0.11481272172758936,0.009567726810632391,0.259235664176949,385.7618561377704,86.06433202548106,-19.144130889826762,-99.0,??
49,2087.0,0.13515467390168734,0.1166273530233175,0.009718946085276405,0.2615009730102813,384.61128430378784,86.52714631375716,-19.152146109344393,-99.0,??
50,2087.5,0.13545500828423926,0.13910794339187493,0.011592328615989578,0.2861552802921038,369.7277286356714,92.51401477351641,-19.255829306133524,-99.0,??
51,2088.0,0.13575651508040654,0.1603913501956855,0.01336594584964046,0.3095138111257325,357.8326171792756,97.29878994361722,-19.33869412751516,-99.0,??
52,2088.5,0.1360589555555424,0.12937652087254214,0.010781376739378512,0.27621685316746303,376.3063026746341,89.86780184548428,-19.2100010375475,-99.0,??
53,2089.0,0.13636301258616845,0.12971314505182985,0.010809428754319172,0.2768855863923175,376.2749658316815,89.88040700253708,-19.210219339150086,-99.0,??
54,2089.5,0.13666709657169848,0.13112312240131008,0.010926926866775766,0.27871714583978435,375.54060529486196,90.17580146566223,-19.21533510918185,-99.0,??
55,2090.0,0.13697320274009753,0.14193944963944993,0.011828287469954124,0.2907409398495016,368.9595202225655,92.82302444979948,-19.26118087035965,-99.0,??
56,2090.5,0.1372801097981933,0.13289085446738635,0.011074237872282178,0.28124520213786186,374.77795831873664,90.48257406954187,-19.220647930813293,-99.0,??
57,2091.0,0.13758758881024724,0.13263743736114542,0.011053119780095431,0.2812781459514881,375.13258235885877,90.3399275455377,-19.21817751615177,-99.0,??
58,2091.5,0.13789666595242298,0.13840933522665194,0.011534111268887592,0.2878401124479626,371.68296590062914,91.72752607592669,-19.24220855215292,-99.0,??
59,2092.0,0.1382061807477011,0.14923332220236762,0.012436110183530635,0.2998756131335993,365.45451549587614,94.23290275559143,-19.285597757219747,-99.0,??
60,2092.5,0.13851708034475516,0.14765401912927525,0.012304501594106232,0.29847560106813664,366.5510618026252,93.79182008388784,-19.27795889530755,-99.0,??
61,2093.0,0.13882966526489932,0.11351737300880682,0.009459781084067198,0.2618068193577733,389.20959000471015,84.67749076215034,-19.120112968506515,-99.0,??
62,2093.5,0.13914239562687875,0.13624676319458914,0.011353896932882357,0.2867430557543503,373.79750673156366,90.87695796640472,-19.227478042993603,-99.0,??
63,2094.0,0.13945670823291928,0.15372856983087413,0.012810714152572787,0.3059959922163662,363.6979587018915,94.9394727918234,-19.29783444499806,-99.0,??
64,2094.5,0.1397721094533113,0.1300867582164047,0.010840563184700391,0.2806994308544164,378.14177419213763,89.12948858338734,-19.1972146067514,-99.0,??
65,2095.0,0.14008875485753625,0.14896941217412607,0.012414117681177115,0.30147228471283943,366.7565428647656,93.70916590383587,-19.27652745420051,-99.0,??
66,2095.5,0.14040626173318166,0.14056854349457293,0.011714045291214392,0.292688850518969,371.90130763957563,91.63969872475501,-19.24068751981419,-99.0,??
67,2096.0,0.1407254909298907,0.1489321550032594,0.012411012916938248,0.3020686588500884,367.1640590234666,93.54524367370666,-19.273688577589333,-99.0,??
68,2096.5,0.14104488930709794,0.13066337181702448,0.010888614318085356,0.2825968754422078,378.5390323595809,88.96969260142694,-19.19444719030404,-99.0,??
