Profundidade [m]	Taxa de sedimentação [cm/ka]
2119.89	
2120.09	8.015110112239034
2120.29	8.015110377773176
2120.49	8.015112745452834
2120.69	8.01511195992007
2120.89	8.015111163322162
2121.09	8.015109326700532
2121.29	8.015112225448247
2121.49	8.015110897777538
2121.69	8.015109592234673
2121.89	8.01511249098534
2122.09	8.015110632256892
2122.29	8.01511301098675
2122.49	8.015109050102467
2122.69	8.015111439909745
2122.89	8.015111683316041
2123.09	8.01510880669617
2123.29	8.015111705460395
2123.49	8.015111417781899
2123.69	8.015109072230313
2123.89	8.01511301098681
2124.09	8.015110654371346
2124.29	8.015112468854545
2124.49	8.01510957012635
2124.69	8.015110919905384
2124.89	8.015112203320403
2125.09	8.015109304572686
2125.29	8.01511301098675
2125.49	8.015109868832738
2125.69	8.01511276760299
2125.89	8.015110355645332
2126.09	8.01511013436688
2126.29	8.015112988858906
2126.49	8.01511009011119
2126.69	8.015110399901022
2126.89	8.015112723347048
2127.09	8.015111982041951
2127.29	8.015111141183834
2127.49	8.015109348828377
2127.69	8.015112247576289
2127.89	8.015110875649693
2128.09	8.01510961438179
2128.29	8.01511301098675
2128.49	8.015111196503447
2128.69	8.015111926722337
2128.89	8.015109027974622
2129.09	8.01511146203759
2129.29	8.015111661204454
2129.49	8.015108828824204
2129.69	8.015111727571732
2129.89	8.015111395654055
2130.09	8.01511301098675
2130.29	8.015109813513124
2130.49	8.015110676512332
2130.69	8.0151124467299
2130.89	8.015109547979137
2131.09	8.015110942033225
2131.29	8.015112181192412
2131.49	8.015112524174342
2131.69	8.015110599061826
2131.89	8.015109890966684
2132.09	8.015112789708514
2132.29	8.015110333517422
2132.49	8.015110156494641
2132.69	8.015112966731294
2132.89	8.01511006799047
2133.09	8.015113010996219
2133.29	8.015109105421878
2133.49	8.015112004169922
2133.69	8.015111119056014
2133.89	8.015109370956049
2134.09	8.015112269708299
2134.29	8.015110853534082
2134.49	8.015109636490221
2134.69	8.015113010986937
2134.89	8.015111218631258
2135.09	8.015111904594379
2135.29	8.015109005848185
2135.49	8.015111484180624
2135.69	8.015111639060267
2135.89	8.015108850952094
2136.09	8.015113010986655
2136.29	8.015110433092737
2136.49	8.015112690133199
2136.69	8.015109791403672
2136.89	8.015110698626955
2137.09	8.015112424598682
2137.29	8.015109525851294
2137.49	8.015110964161067
2137.69	8.01511215906457
2137.89	8.01511254632347
2138.09	8.015110576923746
2138.29	8.015109913088317
2138.49	8.015112811836362
2138.69	8.015110311389574
2138.89	8.01511017862249
2139.09	8.015112944626987
2139.29	8.015111760763403
2139.49	8.015111362462235
2139.69	8.015109127550128
2139.89	8.015112026297516
2140.09	8.015111096928123
2140.29	8.015109393104765
2140.49	8.015112291831942
2140.69	8.015110831393995
2140.89	8.01511301098661
2141.09	8.01510924925326
2141.29	8.0151112407591
2141.49	8.01511188248405
2141.69	8.01510898371915
2141.89	8.015111506293213
2142.09	8.015111616932424
2142.29	8.015113010986981
2142.49	8.015110034791478
2142.69	8.015110455235085
2142.89	8.015112668007296
2143.09	8.015109769257306
2143.29	8.015110720754757
2143.49	8.015112402471178
2143.69	8.015109503723135
2143.89	8.015113010998478
2144.09	8.015109669686952
2144.29	8.015112568430037
2144.49	8.015110554795898
2144.69	8.015109935216165
2144.89	8.01511283396421
2145.09	8.0151102892702
2145.29	8.01511020075831
2145.49	8.015112922475598
2145.69	8.015111782891246
2145.89	8.015111340334391
2146.09	8.01510914967797
2146.29	8.015112048430819
2146.49	8.015111074811264
2146.69	8.015109415212082
2146.89	8.01511301098659
2147.09	8.015110997352853
2147.29	8.015112125873083
2147.49	8.015109227127867
2147.69	8.015111262900941
2147.89	8.015111860338694
2148.09	8.015108961591308
2148.29	8.015111528421055
2148.49	8.015111594804582
2148.69	8.01511301098698
2148.89	8.01511001268064
2149.09	8.015110477348433
2149.29	8.015112645877503
2149.49	8.01510974712946
2149.69	8.015110742882605
2149.89	8.01511238034333
2150.09	8.015112325043415
2150.29	8.015110798202247
2150.49	8.015109691810116
2150.69	8.015112590557504
2150.89	8.015110532668135
2151.09	8.015109957344228
2151.29	8.015112856115095
2151.49	8.01511026713388
2151.69	8.015113010986674
2151.89	8.015108906271701
2152.09	8.015111805019089
2152.29	8.015111318206548
2152.49	8.015109171827595
2152.69	8.0151120705532
2152.89	8.015111052672436
2153.09	8.015113010986918
2153.29	8.015109470531362
2153.49	8.0151110194807
2153.69	8.015112103764004
2153.89	8.015109204997191
2154.09	8.015111285014873
2154.29	8.015111838211062
2154.49	8.015108939463019
2154.69	7.702223628325308
2154.89	7.112000474144783
2155.09	7.112000474131177
2155.29	7.111998095998289
2155.49	7.112000474130778
2155.69	7.112000474130588
2155.89	7.112000474130636
2156.09	7.112000474142036
2156.29	7.111997669157325
2156.49	7.112000474130613
2156.69	7.112000474130753
2156.89	7.112000474130554
2157.09	7.112000474130895
2157.29	7.111999123917572
2157.49	7.111999542048043
2157.69	7.112000474130919
2157.89	7.112000474130554
2158.09	7.1120004741308005
2158.29	7.112000474130565
2158.49	7.111998087293141
2158.69	7.1120004741394105
2158.89	7.112000474130589
2159.09	7.112000474130635
2159.29	7.11200047413073
2159.49	7.111997677865145
2159.69	7.1120004741338985
2159.89	7.112000474142062
2160.09	7.112000474130554
2160.29	7.1120004741308955
2160.49	7.1119991326200465
2160.69	7.111999533330976
2160.89	7.112000474131532
2161.09	7.112000474144534
2161.29	7.1120004741308
2161.49	7.112000474130566
2161.69	7.111998078576074
2161.89	7.112000474130776
2162.09	7.11200047413059
2162.29	7.112000474147289
2162.49	7.112000474130731
2162.69	7.111997686576252
2162.89	7.112000474130611
2163.09	7.112000474130755
2163.29	7.112000474130554
2163.49	7.112000474150225
2163.69	7.111999141331154
2163.89	7.111999524619868
2164.09	7.11200047413092
2164.29	7.112000474130554
2164.49	7.112000474130799
2164.69	7.112000474151009
2164.89	7.111998069864968
2165.09	7.112000474130775
2165.29	7.112000474130591
2165.49	7.1120004741306335
2165.69	7.112000474130732
2165.89	7.111997695305127
2166.09	7.1120004741306095
2166.29	7.112000474130756
2166.49	7.112000474130554
2166.69	7.112000474130897
2166.89	7.111999150042261
2167.09	7.111999515923856
2167.29	7.112000474130921
2167.49	7.112000474130554
2167.69	7.112000474130798
2167.89	7.112000474130569
2168.09	7.111994437337932
2168.29	7.112008566821163
2168.49	7.11199391468553
2168.69	7.111997486246069
2168.89	7.112006371597271
2169.09	7.111990517343505
2169.29	7.111995395575202
2169.49	7.112008462277886
2169.69	7.111990517348036
2169.89	7.112020919181736
2170.09	7.111990517343568
2170.29	7.111990517343568
2170.49	7.112023009852186
2170.69	7.111990517350642
2170.89	7.112011946726728
2171.09	7.1119919111241074
2171.29	7.111990517343568
2171.49	7.112009856048413
2171.69	7.111994001794903
2171.89	7.111997399139325
2172.09	7.112006458718585
2172.29	7.111990517343568
2172.49	7.111995308464129
2172.69	7.112008549379187
2172.89	7.111990517343568
2173.09	7.112021006294401
2173.29	7.111990517356435
2173.49	7.111990517343568
2173.69	7.11202309696347
2173.89	7.111990517343568
2174.09	7.112011859607924
2174.29	7.111991998235392
2174.49	7.111990517359108
2174.69	7.112009768937129
2174.89	7.111994088906187
2175.09	7.111997312023641
2175.29	7.112006545819675
2175.49	7.111990517343568
2175.69	7.1119952213710596
2175.89	7.11200863649047
2176.09	7.111990517343568
2176.29	7.112021093403959
2176.49	7.111990517343568
2176.69	7.111990517343568
2176.89	7.112023184095642
2177.09	7.111990517343568
2177.29	7.112011772496641
2177.49	7.111992085346675
2177.69	7.111990517343568
2177.89	7.112009681825845
2178.09	7.111994176036354
2178.29	7.111997224912357
2178.49	7.112006632930958
2178.69	7.111990517343568
2178.89	7.111995134241562
2179.09	7.112008723601754
2179.29	7.111990517359777
2179.49	7.112021180515242
2179.69	7.111990517343568
2179.89	7.111990517343568
2180.09	7.112023271186038
2180.29	7.111990517343568
2180.49	7.112011685398892
2180.69	7.111992172459018
2180.89	7.111990517343568
2181.09	7.112009594714562
2181.29	7.1119942631287545
2181.49	7.111997137801073
2181.69	7.112006720053104
2181.89	7.1119905173473
2182.09	7.111995047130278
2182.29	7.1120088107130375
2182.49	7.111990517343568
2182.69	7.112021267626526
2182.89	7.111990517351756
2183.09	7.111990517349973
2183.29	7.112023358297321
2183.49	6.966211659905444
2183.69	6.660450105886443
2183.89	6.660433144956143
2184.09	6.660453161914906
2184.29	6.660448272280694
2184.49	6.660434978570183
2184.69	6.660454995523815
2184.89	6.660431616944034
2185.09	6.660455530328322
2185.29	6.660435513376441
2185.49	6.6604477374794815
2185.69	6.660453696713824
2185.89	6.660431616944323
2186.09	6.660442771429816
2186.29	6.660440479412143
2186.49	6.660460496366842
2186.69	6.66044093782917
2186.89	6.6604423130263
2187.09	6.6604591211560455
2187.29	6.6604316169442
2187.49	6.6604481958716955
2187.69	6.660435054970264
2187.89	6.660455071928666
2188.09	6.660446362267346
2188.29	6.660436888584421
2188.49	6.660456905538963
2188.69	6.660431616944002
2188.89	6.660453620313737
2189.09	6.6604336033603895
2189.29	6.660449647495238
2189.49	6.660451786699419
2189.69	6.660431769744876
2189.89	6.660451481097083
2190.09	6.660431616944125
2190.29	6.6604590447548695
2190.49	6.660439027816221
2190.69	6.660444223041047
2190.89	6.660457211141298
2191.09	6.660431616943836
2191.29	6.660446285856944
2191.49	6.660436964985429
2191.69	6.66045698195638
2191.89	6.66044445224287
2192.09	6.660438798599503
2192.29	6.66045881555371
2192.49	6.6604316169437086
2192.69	6.660451710298829
2192.89	6.6604316933647665
2193.09	6.660451557497429
2193.29	6.6604498766845035
2193.49	6.660433374157869
2193.69	6.660453391111503
2193.89	6.660431616943997
2194.09	6.660457134758131
2194.29	6.660437117786166
2194.49	6.660446133056126
2194.69	6.660455301126136
2194.89	6.660431616944287
2195.09	6.660444375842202
2195.29	6.660438875014677
2195.49	6.660458891954301
2195.69	6.660442542228045
2195.89	6.660440708613915
2196.09	6.660460725568431
2196.29	6.660431616944163
2196.49	6.6604498002964965
2196.69	6.660433450559131
2196.89	6.660453467512421
2197.09	6.660447966669924
2197.29	6.660435284172035
2197.49	6.660455301126578
2197.69	6.66043161695395
2197.89	6.660455224729842
2198.09	6.660435207771418
2198.29	6.6604480430705415
2198.49	6.660453391111804
2198.69	6.660433374157262
2198.89	6.660449876692105
2199.09	6.660431616950421
2199.29	6.660460649167182
2199.49	6.660440632213755
2199.69	6.660442618628662
2199.89	6.6604588155536835
2200.09	6.660431616948776
2200.29	6.66044789027802
2200.49	6.660435360573117
2200.69	6.660455377526749
2200.89	6.660446056655183
2201.09	6.660437194187191
2201.29	6.660457211143724
2201.49	6.660431616954976
2201.69	6.660453314711214
2201.89	6.6604332977572565
2202.09	6.6604499530851164
2202.29	6.660451481096816
2202.49	6.660431769745557
2202.69	6.660451786712961
2202.89	6.660431616943961
2203.09	6.660458739153094
2203.29	6.660438722198551
2203.49	6.660444528643777
2203.69	6.660456905538449
2203.89	6.660431616960526
2204.09	6.660445980254587
2204.29	6.660437270587373
2204.49	6.660457287541915
2204.69	6.6604441466404305
2204.89	6.660439104201529
2205.09	6.660459121174887
2205.29	6.660431616944127
2205.49	6.660451404696467
2205.69	6.660431846145493
2205.89	6.660451863100035
2206.09	6.66044957108231
2206.29	6.660433679778116
2206.49	6.6604536967141925
2206.69	6.660431616944075
2206.89	6.660456829138435
2207.09	6.660436812183804
2207.29	6.660446438658156
2207.49	6.660454995540152
2207.69	6.660434978569647
2207.89	6.660448272272313
2208.09	6.660431616944198
2208.29	6.66045919755607
2208.49	6.660442236626103
2208.69	6.660441014229735
2208.89	6.660460419966277
2209.09	6.660431616943908
2209.29	6.660449494681568
2209.49	6.6604337561608045
2209.69	6.660453773114437
2209.89	6.660447661078449
2210.09	6.66043558977759
2210.29	6.66045560672894
2210.49	7.248287834385634
2210.69	7.86458870884172
2210.89	7.864588708842459
2211.09	7.864588708852044
2211.29	7.8646186418760955
2211.49	7.864588708842413
2211.69	7.86458870884187
2211.89	7.864588708842459
2212.09	7.8645887088415485
2212.29	7.86458870884948
2212.49	7.86458870885101
2212.69	7.864588708842389
2212.89	7.864619707102527
2213.09	7.864588708841953
2213.29	7.86458870884233
2213.49	7.864588708846364
2213.69	7.864588708854056
2213.89	7.864588708842459
2214.09	7.864588708841638
2214.29	7.864588708842459
2214.49	7.864618535346269
2214.69	7.864588708843567
2214.89	7.8645887088571556
2215.09	7.864588708842156
2215.29	7.864588708842459
2215.49	7.86458870884181
2215.69	7.864588708842459
2215.89	7.864588708841609
2216.09	7.864619813643743
2216.29	7.864588708842459
2216.49	7.864588708841667
2216.69	7.864588708842459
2216.89	7.864588708842013
2217.09	7.86458870884227
2217.29	7.864588708863301
2217.49	7.864588708841923
2217.69	7.864618428823716
2217.89	7.864588708841577
2218.09	7.864588708842459
2218.29	7.864588708841842
2218.49	7.864588708865477
2218.69	7.864588708842188
2218.89	7.864588708842096
2219.09	7.864588708842459
2219.29	7.86461992014828
2219.49	7.864588708842459
2219.69	7.864588708861748
2219.89	7.864588708842459
2220.09	7.864588708842016
2220.29	7.864588708842268
2220.49	7.864588708842362
2220.69	7.86460564603553
2220.89	7.864599680752337
2221.09	7.86458870884242
2221.29	7.864588708841863
2221.49	7.864588708842459
2221.69	7.864588708841556
2221.89	7.864588708842459
2222.09	7.8645887088560675
2222.29	7.8645887088443525
2222.49	7.86462002667201
2222.69	7.864588708842035
2222.89	7.864588708842459
2223.09	7.864588708841689
2223.29	7.864588708853669
2223.49	7.864588708846657
2223.69	7.864588708842459
2223.89	7.864605539512836
2224.09	7.864599787257775
2224.29	7.864588708842459
2224.49	7.864588708850388
2224.69	7.864588708850032
2224.89	7.864588708842459
2225.09	7.8645887088418025
2225.29	7.864588708842459
2225.49	7.864588708841616
2225.69	7.864620133200749
2225.89	7.864588708852803
2226.09	7.864588708842321
2226.29	7.864588708842309
2226.49	7.864588708841975
2226.69	7.864588708842459
2226.89	7.864588708843969
2227.09	7.864605433003402
2227.29	7.864599893781008
2227.49	7.864588708842459
2227.69	7.8645887088421365
2227.89	7.864588708842146
2228.09	7.864588708842459
2228.29	7.864588708858553
2228.49	7.864588708842459
2228.69	7.864588708841619
2228.89	7.864620239718683
2229.09	7.864588708842459
2229.29	7.864588708841676
2229.49	7.864588708862168
2229.69	7.864588708842023
2229.89	7.86458870884226
2230.09	7.864588708842369
2230.29	7.8646053264658295
2230.49	7.8646000003049075
2230.69	7.8645887088642334
2230.89	7.864588708842459
2231.09	7.864588708841851
2231.29	7.864588708842432
2231.49	7.864588708842197
2231.69	7.864588708842086
2231.89	7.86458870886377
2232.09	7.86462034624171
2232.29	7.864588708842028
2232.49	7.864588708842459
2232.69	7.864588708841682
2232.89	7.864588708842459
2233.09	7.864588708860092
2233.29	7.864588708842459
2233.49	7.864605219942767
2233.69	7.86460010682788
