Profundidade [m]	Produtividade Primária [gC/m²/yr]
2424.99	148.1789965
2425.19	148.1784999
2425.39	148.1778864
2425.59	148.1772728
2425.79	148.1766594
2425.99	148.1760459
2426.19	148.1754324
2426.39	148.1748189
2426.59	148.1742055
2426.79	148.173592
2426.99	148.1729786
2427.19	148.1723651
2427.39	148.1717517
2427.59	148.1711383
2427.79	148.1705249
2427.99	148.1699115
2428.19	148.1692981
2428.39	148.1686848
2428.59	148.1680714
2428.79	148.167458
2428.99	148.1668447
2429.19	148.1662314
2429.39	148.165618
2429.59	148.1650047
2429.79	148.1643914
2429.99	148.1637781
2430.19	148.1631648
2430.39	148.1625516
2430.59	148.1619383
2430.79	148.161325
2430.99	148.1607118
2431.19	148.1600985
2431.39	148.1594853
2431.59	148.1588721
2431.79	148.1582589
2431.99	148.1576457
2432.19	148.1570325
2432.39	148.1564193
2432.59	148.1558061
2432.79	148.1551929
2432.99	148.1545798
2433.19	148.1539666
2433.39	148.1533535
2433.59	148.1527404
2433.79	148.1521273
2433.99	148.1515141
2434.19	148.150901
2434.39	148.1502879
2434.59	148.1496749
2434.79	148.1490618
2434.99	148.1484487
2435.19	148.1478357
2435.39	148.1472226
2435.59	148.1466096
2435.79	148.1459966
2435.99	148.1453836
2436.19	148.1447706
2436.39	148.1441576
2436.59	148.1435446
2436.79	148.1429316
2436.99	148.1423186
2437.19	148.1417057
2437.39	148.1410927
2437.59	148.1404798
2437.79	148.1398668
2437.99	148.1392539
2438.19	148.138641
2438.39	148.1380281
2438.59	148.1374152
2438.79	148.1368023
2438.99	148.1361895
2439.19	148.1355766
2439.39	148.1349637
2439.59	148.1343509
2439.79	148.1337381
2439.99	148.1331252
2440.19	148.1325124
2440.39	148.1318996
2440.59	148.1312868
2440.79	148.130674
2440.99	148.1300612
2441.19	148.1294485
2441.39	148.1288357
2441.59	148.1282229
2441.79	148.1276102
2441.99	148.1269975
2442.19	148.1263847
2442.39	148.125772
2442.59	148.1251593
2442.79	148.1245466
2442.99	148.1239339
2443.19	148.1233213
2443.39	148.1227086
2443.59	148.1220959
2443.79	148.1214833
2443.99	148.1208707
2444.19	148.120258
2444.39	148.1196454
2444.59	148.1190328
2444.79	148.1184202
2444.99	148.1178076
2445.19	148.117195
2445.39	148.1165824
2445.59	148.1159699
2445.79	148.1153573
2445.99	148.1147448
2446.19	148.1141322
2446.39	148.1135197
2446.59	148.1129072
2446.79	148.1122947
2446.99	148.1116822
2447.19	148.1110697
2447.39	148.1104572
2447.59	148.1098448
2447.79	148.1092323
2447.99	148.1086198
2448.19	148.1080074
2448.39	148.107395
2448.59	148.1067825
2448.79	148.1061701
2448.99	148.1055577
2449.19	148.1049453
2449.39	148.1043329
2449.59	148.1037206
2449.79	148.1031082
2449.99	148.1024958
2450.19	148.1018835
2450.39	148.1012712
2450.59	148.1006588
2450.79	148.1000465
2450.99	148.0994342
2451.19	148.0988219
2451.39	148.0982096
2451.59	148.0975973
2451.79	148.0969851
2451.99	148.0963728
2452.19	148.0957605
2452.39	148.0951483
2452.59	148.0945361
2452.79	148.0939238
2452.99	148.0933116
2453.19	148.0926994
2453.39	148.0920872
2453.59	148.091475
2453.79	148.0908628
2453.99	148.0902507
2454.19	148.0896385
2454.39	148.0890264
2454.59	148.0884142
2454.79	148.0878021
2454.99	148.08719
2455.19	148.0865778
2455.39	148.0859657
2455.59	148.0853536
2455.79	148.0847416
2455.99	148.0841295
2456.19	148.0835174
2456.39	148.0829054
2456.59	148.0822933
2456.79	148.0816813
2456.99	148.0810692
2457.19	148.0804572
2457.39	148.0798452
2457.59	148.0792332
2457.79	148.0786212
2457.99	148.0780092
2458.19	148.0773973
2458.39	148.0767853
2458.59	148.0761734
2458.79	148.0755614
2458.99	148.0749495
2459.19	148.0743376
2459.39	148.0737256
2459.59	148.0731137
2459.79	148.0725018
2459.99	148.0718899
2460.19	148.0712781
2460.39	148.0706662
2460.59	148.0700543
2460.79	148.0694425
2460.99	148.0688306
2461.19	148.0682188
2461.39	148.067607
2461.59	148.0669952
2461.79	148.0663834
2461.99	148.0657716
2462.19	148.0651598
2462.39	148.064548
2462.59	148.0639362
2462.79	148.0633245
2462.99	148.0627127
2463.19	148.062101
2463.39	148.0614893
2463.59	148.0608776
2463.79	148.0602658
2463.99	148.0596541
2464.19	148.0590425
2464.39	148.0584308
2464.59	148.0578191
2464.79	148.0572074
2464.99	148.0565958
2465.19	148.0559841
2465.39	148.0553725
2465.59	148.0547609
2465.79	148.0541493
2465.99	148.0535377
2466.19	148.0529261
2466.39	148.0523145
2466.59	148.0517029
2466.79	148.0510913
2466.99	148.0504798
2467.19	148.0498682
2467.39	148.0492567
2467.59	148.0486451
2467.79	148.0480336
2467.99	148.0474221
2468.19	148.0468106
2468.39	148.0461991
2468.59	148.0455876
2468.79	148.0449761
2468.99	148.0443647
2469.19	148.0437532
2469.39	148.0431418
2469.59	148.0425303
2469.79	148.0419189
2469.99	148.0413075
2470.19	148.0406961
2470.39	148.0400847
2470.59	148.0394733
2470.79	148.0388619
2470.99	148.0382505
2471.19	148.0376392
2471.39	148.0370278
2471.59	148.0364165
2471.79	148.0358051
2471.99	148.0351938
2472.19	148.0345825
2472.39	148.0339712
2472.59	148.0333599
2472.79	148.0327486
2472.99	148.0321373
2473.19	148.031526
2473.39	148.0309148
2473.59	148.0303035
2473.79	148.0296923
2473.99	148.0290811
2474.19	148.0284698
2474.39	148.0278586
2474.59	148.0272474
2474.79	148.0266362
2474.99	148.026025
2475.19	148.0254139
2475.39	148.0248027
2475.59	148.0241915
2475.79	148.0235804
2475.99	148.0229693
2476.19	148.0223581
2476.39	148.021747
2476.59	148.0211359
2476.79	148.0205248
2476.99	148.0199137
2477.19	148.0193026
2477.39	148.0186915
2477.59	148.0180845
2477.79	148.0175104
2477.99	148.0169362
2478.19	148.016362
2478.39	148.0157879
2478.59	148.0152137
