Profundidade [m]	Paleobatimetria [m]
1542	701.1299692
1542.2	701.4817914
1542.4	701.8336137
1542.6	702.1854358
1542.8	702.537258
1543	702.8890801
1543.2	703.2409023
1543.4	703.5927245
1543.6	703.9445467
1543.8	704.2963689
1544	704.648191
1544.2	705.0000132
1544.4	705.3518353
1544.6	705.7036575
1544.8	706.0554798
1545	706.4073019
1545.2	706.7591241
1545.4	707.1109462
1545.6	707.4627684
1545.8	707.8145905
1546	708.1664128
1546.2	708.518235
1546.4	708.8700571
1546.6	709.2218793
1546.8	709.5737014
1547	709.9255236
1547.2	710.2773459
1547.4	710.629168
1547.6	710.9809902
1547.8	711.3328123
1548	711.6846345
1548.2	712.0364566
1548.4	712.3882789
1548.6	712.7401011
1548.8	713.0919232
1549	713.4437454
1549.2	713.7955675
1549.4	714.1473897
1549.6	714.4992119
1549.8	714.8510341
1550	715.2028563
1550.2	715.5546784
1550.4	715.9065006
1550.6	716.2583227
1550.8	716.610145
1551	716.9619672
1551.2	717.3137893
1551.4	717.6656115
1551.6	718.0174336
1551.8	718.3692558
1552	718.721078
1552.2	719.0729002
1552.4	719.4247224
1552.6	719.7765445
1552.8	720.1283667
1553	720.4801889
1553.2	720.8320111
1553.4	721.1838332
1553.6	721.5356554
1553.8	721.8874776
1554	722.2392997
1554.2	722.591122
1554.4	722.9429441
1554.6	723.2947663
1554.8	723.6465885
1555	723.9984106
1555.2	724.3502328
1555.4	724.702055
1555.6	725.0538772
1555.8	725.4056993
1556	725.7575215
1556.2	726.1093437
1556.4	726.4611658
1556.6	726.8129881
1556.8	727.1648102
1557	727.5166324
1557.2	727.8684545
1557.4	728.2202767
1557.6	728.5720989
1557.8	728.9239211
1558	729.2757433
1558.2	729.6275654
1558.4	729.9793876
1558.6	730.3312098
1558.8	730.6830319
1559	731.0348542
1559.2	731.3866763
1559.4	731.7384985
1559.6	732.0903206
1559.8	732.4421428
1560	732.793965
1560.2	733.1457872
1560.4	733.4976094
1560.6	733.8494315
1560.8	734.2012537
1561	734.5530758
1561.2	734.904898
1561.4	735.2567203
1561.6	735.6085424
1561.8	735.9603646
1562	736.3121867
1562.2	736.6640089
1562.4	737.0158311
1562.6	737.3676533
1562.8	737.7194755
1563	738.0712976
1563.2	738.4231198
1563.4	738.7749419
1563.6	739.1267642
1563.8	739.4785864
1564	739.8304085
1564.2	740.1822307
1564.4	740.5340528
1564.6	740.885875
1564.8	741.2376972
1565	741.5895194
1565.2	741.9413416
1565.4	742.2931637
1565.6	742.6449859
1565.8	742.996808
1566	743.3486303
1566.2	743.7004525
1566.4	744.0522746
1566.6	744.4040968
1566.8	744.7559189
1567	745.1077411
1567.2	745.4595633
1567.4	745.8113855
1567.6	746.1632077
1567.8	746.5150298
1568	746.866852
1568.2	747.2186741
1568.4	747.5704964
1568.6	747.9223185
1568.8	748.2741407
1569	748.6259629
1569.2	748.977785
1569.4	749.3296072
1569.6	749.6814294
1569.8	750.0332516
1570	750.3850738
1570.2	750.7368959
1570.4	751.0887181
1570.6	751.4405402
1570.8	751.7923625
1571	752.1441846
1571.2	752.4960068
1571.4	752.847829
1571.6	753.1996511
1571.8	753.5514733
1572	753.9032955
1572.2	754.2551177
1572.4	754.6069398
1572.6	754.958762
1572.8	755.3105842
1573	755.6624063
1573.2	756.0142286
1573.4	756.3660507
1573.6	756.7178729
1573.8	757.0696951
1574	757.4215172
1574.2	757.7733395
1574.4	758.1251616
1574.6	758.4769838
1574.8	758.8288059
1575	759.1806281
1575.2	759.4903403
1575.4	759.8000525
1575.6	760.1097646
1575.8	760.4194769
1576	760.7291891
1576.2	761.0389013
1576.4	761.3486134
1576.6	761.6583256
1576.8	761.9680378
1577	762.2777499
1577.2	762.5874621
1577.4	762.8971744
1577.6	763.2068866
1577.8	763.5165987
1578	763.8263109
1578.2	764.1360231
1578.4	764.4457352
1578.6	764.7554474
1578.8	765.0651596
1579	765.3748719
1579.2	765.684584
1579.4	765.9942962
1579.6	766.3040084
1579.8	766.6137205
1580	766.9234327
1580.2	767.2331449
1580.4	767.5428571
1580.6	767.8525693
1580.8	768.1622815
1581	768.4719937
1581.2	768.7817059
1581.4	769.091418
1581.6	769.4011302
1581.8	769.7108424
1582	770.0205545
1582.2	770.3302668
1582.4	770.639979
1582.6	770.9496912
1582.8	771.2594033
1583	771.5691155
1583.2	771.8788277
1583.4	772.1885398
1583.6	772.498252
1583.8	772.8079643
1584	773.1176765
1584.2	773.4273886
1584.4	773.7371008
1584.6	774.046813
1584.8	774.3565252
1585	774.6662373
1585.2	774.9759495
1585.4	775.2856618
1585.6	775.5953739
1585.8	775.9050861
1586	776.2147983
1586.2	776.5245105
1586.4	776.8342226
1586.6	777.1439348
1586.8	777.4536471
1587	777.7633592
1587.2	778.0730713
1587.4	778.3827832
1587.6	778.6924961
1587.8	779.0022079
1588	779.3119198
1588.2	779.6216327
1588.4	779.9313445
1588.6	780.2410564
1588.8	780.5507693
1589	780.8604812
1589.2	781.170193
1589.4	781.4799059
1589.6	781.7896178
1589.8	782.0993297
1590	782.4090415
1590.2	782.7187544
1590.4	783.0284663
1590.6	783.3381781
1590.8	783.647891
1591	783.9576029
1591.2	784.2673148
1591.4	784.5770276
1591.6	784.8867395
1591.8	785.1964514
1592	785.5061642
1592.2	785.8158761
1592.4	786.125588
1592.6	786.4353009
1592.8	786.7450127
1593	787.0547246
1593.2	787.3644365
1593.4	787.6741493
1593.6	787.9838612
1593.8	788.0899342
1594	788.1122832
1594.2	788.1346322
1594.4	788.1569811
1594.6	788.1793302
1594.8	788.2016791
1595	788.2240281
1595.2	788.2463771
1595.4	788.2687261
1595.6	788.291075
1595.8	788.313424
1596	788.335773
1596.2	788.358122
1596.4	788.3804709
1596.6	788.4028199
1596.8	788.4251689
1597	788.4475179
1597.2	788.4698669
1597.4	788.4922158
1597.6	788.5145648
1597.8	788.5369138
1598	788.5592628
1598.2	788.5816117
1598.4	788.6039608
1598.6	788.6263097
1598.8	788.6486587
1599	788.6710077
1599.2	788.6933567
1599.4	788.7157056
1599.6	788.7380546
1599.8	788.7604036
1600	788.7827526
1600.2	788.8051015
1600.4	788.8274505
1600.6	788.8497995
1600.8	788.8721484
1601	788.8953821
1601.2	788.9195004
1601.4	788.9436186
1601.6	788.9677369
1601.8	788.9918552
1602	789.0159735
1602.2	789.0400917
1602.4	789.06421
1602.6	789.0883283
1602.8	789.1124465
1603	789.1365648
1603.2	789.1606831
1603.4	789.1848014
1603.6	789.2089196
1603.8	789.2330379
1604	789.2571562
1604.2	789.2812745
1604.4	789.3053927
1604.6	789.329511
1604.8	789.3536293
1605	789.3777475
1605.2	789.4018658
1605.4	789.4259841
1605.6	789.4501024
1605.8	789.4742206
1606	789.4983389
1606.2	789.5224572
1606.4	789.5465755
1606.6	789.5706937
1606.8	789.594812
1607	789.6189303
1607.2	789.6430485
1607.4	789.6671668
1607.6	789.6912851
1607.8	789.7154034
1608	789.7395216
1608.2	789.7636399
1608.4	789.7877582
1608.6	789.8118764
1608.8	789.8359947
1609	789.860113
1609.2	789.8842313
1609.4	789.9083495
1609.6	789.9324678
1609.8	789.9565861
1610	789.9807044
1610.2	790.0048226
1610.4	790.0289409
1610.6	790.0530592
1610.8	790.0771774
1611	790.1012957
1611.2	790.125414
1611.4	790.1495323
1611.6	790.1736505
1611.8	790.1977688
1612	790.2218871
1612.2	790.2460054
1612.4	790.2701236
1612.6	790.2942419
1612.8	790.3183602
1613	790.3424784
1613.2	790.3665967
1613.4	790.390715
1613.6	790.4148333
1613.8	790.4389515
1614	790.4630698
1614.2	790.4871881
1614.4	790.5113063
1614.6	790.5354246
1614.8	790.5595429
1615	790.5836612
1615.2	790.6077794
1615.4	790.6318977
1615.6	790.656016
1615.8	790.6801343
1616	790.7042525
1616.2	790.7283708
1616.4	790.7524891
1616.6	790.7766073
1616.8	790.8007256
1617	790.8248439
1617.2	790.8489622
1617.4	790.8730804
1617.6	790.8971987
1617.8	790.921317
1618	790.9454353
1618.2	790.9695535
1618.4	790.9936718
1618.6	791.0177901
1618.8	791.0419083
1619	791.0660266
1619.2	791.0901449
1619.4	791.1142632
1619.6	791.1383814
1619.8	791.1624997
1620	791.186618
1620.2	791.2107362
1620.4	791.2348545
1620.6	791.2589728
1620.8	791.2830911
1621	791.3072093
1621.2	791.3313276
1621.4	791.3554459
1621.6	791.3795642
1621.8	791.4036824
1622	791.4278007
1622.2	791.451919
1622.4	791.4760372
1622.6	791.5001555
1622.8	791.5242738
1623	791.5483921
1623.2	791.5725103
1623.4	791.5966286
1623.6	791.6207469
1623.8	791.6448651
1624	791.6689834
1624.2	791.6931017
1624.4	791.71722
1624.6	791.7413382
1624.8	791.7654565
1625	791.7977548
1625.2	791.838233
1625.4	791.8787112
1625.6	791.9191894
1625.8	791.9596676
1626	792.0001459
1626.2	792.0406241
1626.4	792.0811023
1626.6	792.1215805
1626.8	792.1620587
1627	792.2025369
1627.2	792.2430152
1627.4	792.2834934
1627.6	792.3239716
1627.8	792.3644498
1628	792.404928
1628.2	792.4454063
1628.4	792.4858845
1628.6	792.5263627
1628.8	792.566841
1629	792.6073191
1629.2	792.6477974
1629.4	792.6882756
1629.6	792.7287538
1629.8	792.769232
