Profundidade [m]	Idade [Ma]
2494.0	59.501787
2494.2	59.506483
2494.4	59.511178
2494.6	59.515874
2494.8	59.520569
2495.0	59.525265
2495.2	59.52996
2495.4	59.534656
2495.6	59.539351
2495.8	59.544047
2496.0	59.548743
2496.2	59.553438
2496.4	59.558134
2496.6	59.562829
2496.8	59.567525
2497.0	59.57222
2497.2	59.576916
2497.4	59.581612
2497.6	59.586307
2497.8	59.591003
2498.0	59.595698
2498.2	59.600394
2498.4	59.605089
2498.6	59.609785
2498.8	59.614481
2499.0	59.619176
2499.2	59.623872
2499.4	59.628567
2499.6	59.633263
2499.8	59.637958
2500.0	59.642654
2500.2	59.647349
2500.4	59.652045
2500.6	59.656741
2500.8	59.661436
2501.0	59.666132
2501.2	59.670827
2501.4	59.675523
2501.6	59.680218
2501.8	59.684914
2502.0	59.68961
2502.2	59.694305
2502.4	59.699001
2502.6	59.703696
2502.8	59.708392
2503.0	59.713087
2503.2	59.717783
2503.4	59.722478
2503.6	59.727174
2503.8	59.73187
2504.0	59.736565
2504.2	59.741261
2504.4	59.745956
2504.6	59.750652
2504.8	59.755347
2505.0	59.760043
2505.2	59.764739
2505.4	59.769434
2505.6	59.77413
2505.8	59.778825
2506.0	59.783521
2506.2	59.788216
2506.4	59.792912
2506.6	59.797607
2506.8	59.802303
2507.0	59.806999
2507.2	59.811694
2507.4	59.81639
2507.6	59.821085
2507.8	59.825781
2508.0	59.830476
2508.2	59.835172
2508.4	59.839868
2508.6	59.844563
2508.8	59.849259
2509.0	59.853954
2509.2	59.85865
2509.4	59.863345
2509.6	59.868041
2509.8	59.872737
2510.0	59.877432
2510.2	59.882128
2510.4	59.886823
2510.6	59.891519
2510.8	59.896214
2511.0	59.90091
2511.2	59.905605
2511.4	59.910301
2511.6	59.914997
2511.8	59.919692
2512.0	59.924388
2512.2	59.929083
2512.4	59.933779
2512.6	59.938474
2512.8	59.94317
2513.0	59.947866
2513.2	59.952561
2513.4	59.957257
2513.6	59.961952
2513.8	59.966648
2514.0	59.971343
2514.2	59.976039
2514.4	59.980734
2514.6	59.98543
2514.8	59.990126
2515.0	59.994821
2515.2	59.999517
2515.4	60.004212
2515.6	60.008908
2515.8	60.013603
2516.0	60.018299
2516.2	60.022995
2516.4	60.02769
2516.6	60.032386
2516.8	60.037081
2517.0	60.041777
2517.2	60.046472
2517.4	60.051168
2517.6	60.055863
2517.8	60.060559
2518.0	60.065255
2518.2	60.06995
2518.4	60.074646
2518.6	60.079341
2518.8	60.084037
2519.0	60.088732
2519.2	60.093428
2519.4	60.098124
2519.6	60.102819
2519.8	60.107515
2520.0	60.11221
2520.2	60.116906
2520.4	60.121601
2520.6	60.126297
2520.8	60.130993
2521.0	60.135688
2521.2	60.140384
2521.4	60.145079
2521.6	60.149775
2521.8	60.15447
2522.0	60.159166
2522.2	60.163861
2522.4	60.168557
2522.6	60.173253
2522.8	60.177948
2523.0	60.182644
2523.2	60.187339
2523.4	60.192035
2523.6	60.19673
2523.8	60.201426
2524.0	60.206122
2524.2	60.210817
2524.4	60.215513
2524.6	60.220208
2524.8	60.224904
2525.0	60.229599
2525.2	60.234295
2525.4	60.23899
2525.6	60.243686
2525.8	60.248382
2526.0	60.253077
2526.2	60.257773
2526.4	60.262468
2526.6	60.267164
2526.8	60.271859
2527.0	60.276555
2527.2	60.281251
2527.4	60.285946
2527.6	60.290642
2527.8	60.295337
2528.0	60.300033
2528.2	60.304728
2528.4	60.309424
2528.6	60.314119
2528.8	60.318815
2529.0	60.323511
2529.2	60.328206
2529.4	60.332902
2529.6	60.337597
2529.8	60.342293
2530.0	60.346988
2530.2	60.351684
2530.4	60.35638
2530.6	60.361075
2530.8	60.365771
2531.0	60.370466
2531.2	60.375162
2531.4	60.379857
2531.6	60.384553
2531.8	60.389248
2532.0	60.393944
2532.2	60.39864
2532.4	60.403335
2532.6	60.408031
2532.8	60.412726
2533.0	60.417422
2533.2	60.422117
2533.4	60.426813
2533.6	60.431509
2533.8	60.436204
2534.0	60.4409
2534.2	60.445595
2534.4	60.450291
2534.6	60.454986
2534.8	60.459682
2535.0	60.464378
2535.2	60.469073
2535.4	60.473769
2535.6	60.478464
2535.8	60.48316
2536.0	60.487855
2536.2	60.492551
2536.4	60.497246
2536.6	60.501942
2536.8	60.506638
2537.0	60.511333
2537.2	60.516029
2537.4	60.520724
2537.6	60.52542
2537.8	60.530115
2538.0	60.534811
2538.2	60.539507
2538.4	60.544202
2538.6	60.548898
2538.8	60.553593
2539.0	60.558289
2539.2	60.562984
2539.4	60.56768
2539.6	60.572375
2539.8	60.577071
2540.0	60.581767
2540.2	60.586462
2540.4	60.591158
2540.6	60.595853
2540.8	60.600549
