Profundidade [m]	Idade [Ma]
2425.0	63.13361
2425.2	63.13361
2425.4	63.13361
2425.6	63.13361
2425.8	63.13361
2426.0	63.13361
2426.2	63.13361
2426.4	63.13361
2426.6	63.13361
2426.8	63.13361
2427.0	63.13361
2427.2	63.13361
2427.4	63.13361
2427.6	63.13361
2427.8	63.13361
2428.0	63.13361
2428.2	63.13361
2428.4	63.13361
2428.6	63.13361
2428.8	63.13361
2429.0	63.13361
2429.2	63.13361
2429.4	63.13361
2429.6	63.13361
2429.8	63.13361
2430.0	63.13361
2430.2	63.13361
2430.4	63.13361
2430.6	63.13361
2430.8	63.13361
2431.0	63.13361
2431.2	63.13361
2431.4	63.13361
2431.6	63.13361
2431.8	63.13361
2432.0	63.13361
2432.2	63.13361
2432.4	63.13361
2432.6	63.13361
2432.8	63.13361
2433.0	63.13361
2433.2	63.13361
2433.4	63.13361
2433.6	63.13361
2433.8	63.13361
2434.0	63.13361
2434.2	63.13361
2434.4	63.13361
2434.6	63.13361
2434.8	63.13361
2435.0	63.13361
2435.2	63.13361
2435.4	63.13361
2435.6	63.13361
2435.8	63.13361
2436.0	63.13361
2436.2	63.13361
2436.4	63.13361
2436.6	63.13361
2436.8	63.13361
2437.0	63.13361
2437.2	63.13361
2437.4	63.13361
2437.6	63.13361
2437.8	63.13361
2438.0	63.13361
2438.2	63.13361
2438.4	63.13361
2438.6	63.13361
2438.8	63.13361
2439.0	63.13361
2439.2	63.13361
2439.4	63.13361
2439.6	63.13361
2439.8	63.13361
2440.0	63.13361
2440.2	63.13361
2440.4	63.13361
2440.6	63.13361
2440.8	63.13361
2441.0	63.13361
2441.2	63.13361
2441.4	63.13361
2441.6	63.13361
2441.8	63.13361
2442.0	63.13361
2442.2	63.13361
2442.4	63.13361
2442.6	63.13361
2442.8	63.13361
2443.0	63.13361
2443.2	63.13361
2443.4	63.13361
2443.6	63.13361
2443.8	63.13361
2444.0	63.13361
2444.2	63.13361
2444.4	63.13361
2444.6	63.13361
2444.8	63.13361
2445.0	63.13361
2445.2	63.13361
2445.4	63.13361
2445.6	63.13361
2445.8	63.13361
2446.0	63.13361
2446.2	63.13361
2446.4	63.13361
2446.6	63.13361
2446.8	63.13361
2447.0	63.13361
2447.2	63.13361
2447.4	63.13361
2447.6	63.13361
2447.8	63.13361
2448.0	63.13361
2448.2	63.13361
2448.4	63.13361
2448.6	63.13361
2448.8	63.13361
2449.0	63.13361
2449.2	63.13361
2449.4	63.13361
2449.6	63.13361
2449.8	63.13361
2450.0	63.13361
2450.2	63.13361
2450.4	63.13361
2450.6	63.13361
2450.8	63.13361
2451.0	63.13361
2451.2	63.13361
2451.4	63.13361
2451.6	63.13361
2451.8	63.13361
2452.0	63.13361
2452.2	63.13361
2452.4	63.13361
2452.6	63.13361
2452.8	63.13361
2453.0	63.13361
2453.2	63.135199
2453.4	63.138375
2453.6	63.141551
2453.8	63.144728
2454.0	63.147904
2454.2	63.151081
2454.4	63.154257
2454.6	63.157434
2454.8	63.16061
2455.0	63.163787
2455.2	63.166963
2455.4	63.17014
2455.6	63.173316
2455.8	63.176493
2456.0	63.179669
2456.2	63.182846
2456.4	63.186022
2456.6	63.189199
2456.8	63.192375
2457.0	63.195551
2457.2	63.198728
2457.4	63.201904
2457.6	63.205081
2457.8	63.208257
2458.0	63.211434
2458.2	63.21461
2458.4	63.217787
2458.6	63.220963
2458.8	63.22414
2459.0	63.227316
2459.2	63.230493
2459.4	63.233669
2459.6	63.236846
2459.8	63.240022
2460.0	63.243199
2460.2	63.246375
2460.4	63.249551
2460.6	63.252728
2460.8	63.255904
2461.0	63.259081
2461.2	63.262257
2461.4	63.265434
2461.6	63.26861
2461.8	63.271787
2462.0	63.274963
2462.2	63.27814
2462.4	63.281316
2462.6	63.284493
2462.8	63.287669
2463.0	63.290846
2463.2	63.294022
2463.4	63.297199
2463.6	63.300375
2463.8	63.303551
2464.0	63.306728
2464.2	63.309904
2464.4	63.313081
2464.6	63.316257
2464.8	63.319434
2465.0	63.32261
2465.2	63.325787
2465.4	63.328963
2465.6	63.33214
2465.8	63.335316
2466.0	63.338493
2466.2	63.341669
2466.4	63.344846
2466.6	63.348022
2466.8	63.351199
2467.0	63.354375
2467.2	63.357551
2467.4	63.360728
2467.6	63.363904
2467.8	63.367081
2468.0	63.370257
2468.2	63.373434
2468.4	63.37661
2468.6	63.379787
2468.8	63.382963
2469.0	63.38614
2469.2	63.389316
2469.4	63.392493
2469.6	63.395669
2469.8	63.398846
2470.0	63.402022
2470.2	63.405199
2470.4	63.408375
2470.6	63.411551
2470.8	63.414728
2471.0	63.417904
2471.2	63.421081
2471.4	63.424257
2471.6	63.427434
2471.8	63.43061
2472.0	63.433787
2472.2	63.436963
2472.4	63.44014
2472.6	63.443316
2472.8	63.446493
2473.0	63.449669
2473.2	63.452846
2473.4	63.456022
2473.6	63.459199
2473.8	63.462375
2474.0	63.465551
2474.2	63.468728
2474.4	63.471904
2474.6	63.475081
2474.8	63.478257
2475.0	63.481434
2475.2	63.48461
2475.4	63.487787
2475.6	63.490963
2475.8	63.49414
2476.0	63.497316
2476.2	63.500493
2476.4	63.503669
2476.6	63.506846
2476.8	63.510022
2477.0	63.513199
2477.2	63.516375
2477.4	63.519551
2477.6	63.522728
2477.8	63.525904
2478.0	63.529081
2478.2	63.532257
2478.4	63.535434
2478.6	63.53861
2478.8	63.541787
2479.0	63.544963
2479.2	63.54814
2479.4	63.551316
2479.6	63.554493
2479.8	63.557669
2480.0	63.560846
2480.2	63.564022
2480.4	63.567199
2480.6	63.570375
2480.8	63.573551
2481.0	63.576728
2481.2	63.579904
2481.4	63.583081
2481.6	63.586257
2481.8	63.589434
2482.0	63.59261
2482.2	63.595787
2482.4	63.598963
2482.6	63.60214
2482.8	63.605316
2483.0	63.608493
2483.2	63.611669
2483.4	63.614846
2483.6	63.618022
2483.8	63.621199
2484.0	63.624375
