Estatísticas Básicas,média,2σ,min,25%,50%,75%,máx
COₘₐ,0.29,0.53,0.03,0.06,0.1,0.23,2.9
rCO,0.09,0.04,0.0,0.06,0.1,0.11,0.5
qCO,1.02,0.37,0.0,0.7,1.15,1.3,1.5
COₜₑ,1.1,0.4,0.0,0.76,1.25,1.41,1.62
COT,1.4,0.72,0.03,0.89,1.4,1.62,4.38
