Estatísticas Básicas,média,2σ,min,25%,50%,75%,máx
COₘₐ,0.25,0.41,0.03,0.06,0.08,0.21,2.13
rCO,0.14,0.08,0.0,0.06,0.16,0.2,0.47
qCO,0.96,0.39,0.0,0.69,1.1,1.27,1.5
COₜₑ,1.1,0.45,0.0,0.78,1.31,1.45,1.62
COT,1.36,0.67,0.05,0.88,1.44,1.65,3.63
