Profundidade [m],Densidade Aparente Seca [g/cm3]
2446.2,1.6758689999999998
2446.4,1.736301
2446.6,1.785292
2446.8,1.919439
2447.0,2.07207
2447.2,1.981929
2447.4,1.881382
2447.6,1.820473
2447.8,1.7260950000000002
2448.0,1.6035519999999999
2448.2,1.643478
2448.4,1.7656749999999999
2448.6,1.8361500000000002
2448.8,1.8053000000000001
2449.0,1.754227
2449.2,1.7389519999999998
2449.4,1.7540209999999998
2449.6,1.8020770000000002
2449.8,1.8021859999999998
2450.0,1.780657
2450.2,1.7595750000000001
2450.4,1.7246040000000002
2450.6,1.707058
2450.8,1.760247
2451.0,1.8287639999999998
2451.2,1.786291
2451.4,1.7685339999999998
2451.6,1.7960960000000001
2451.8,1.848588
2452.0,1.9772859999999999
2452.2,2.085915
2452.4,2.0740320000000003
2452.6,1.907279
2452.8,1.8012020000000002
2453.0,1.877586
2453.2,1.972979
2453.4,2.009617
2453.6,1.946098
2453.8,1.921113
2454.0,1.999426
2454.2,2.1029619999999998
2454.4,2.122523
2454.6,2.120256
2454.8,2.008142
2455.0,1.863736
2455.2,1.7572300000000003
2455.4,1.724746
2455.6,1.7369860000000001
2455.8,1.818821
2456.0,1.8417180000000002
2456.2,1.7940329999999998
2456.4,1.7283760000000001
2456.6,1.678088
2456.8,1.6997080000000002
2457.0,1.7812649999999999
2457.2,1.7476479999999999
2457.4,1.6078160000000001
2457.6,1.6421029999999999
2457.8,1.711735
2458.0,1.7042629999999999
2458.2,1.736333
2458.4,1.762618
2458.6,1.908302
2458.8,2.1422030000000003
2459.0,2.272343
2459.2,2.298037
2459.4,2.1997039999999997
2459.6,1.942326
2459.8,1.73288
2460.0,1.6456349999999997
2460.2,1.661547
2460.4,1.6928609999999997
2460.6,1.6791900000000002
2460.8,1.6856950000000002
2461.0,1.764355
2461.2,1.759936
2461.4,1.720803
2461.6,1.6579389999999998
2461.8,1.526197
2462.0,1.550583
2462.2,1.781008
2462.4,1.9852519999999998
2462.6,2.009463
2462.8,1.9437020000000003
2463.0,1.8943520000000003
2463.2,1.942316
2463.4,1.9410520000000002
2463.6,1.8823389999999998
2463.8,1.917603
2464.0,1.9877399999999998
2464.2,1.9990009999999998
2464.4,1.992336
2464.6,1.974167
2464.8,1.965818
2465.0,1.953071
2465.2,1.898961
2465.4,1.7778310000000002
2465.6,1.742866
2465.8,1.840407
2466.0,1.970602
2466.2,2.0707120000000003
2466.4,2.075137
2466.6,2.064977
2466.8,1.9877090000000002
2467.0,1.844067
2467.2,1.772373
2467.4,1.7596019999999999
2467.6,1.815547
2467.8,1.959075
2468.0,2.038529
2468.2,2.04157
2468.4,2.0466369999999996
2468.6,2.038998
2468.8,2.073828
2469.0,2.008946
2469.2,1.874047
2469.4,1.7684239999999998
2469.6,1.6913349999999998
2469.8,1.6892470000000002
2470.0,1.6587610000000002
2470.2,1.6338329999999999
2470.4,1.6651470000000002
2470.6,1.822748
2470.8,2.031409
2471.0,2.270994
2471.2,2.204382
2471.4,2.100931
2471.6,1.9841129999999998
2471.8,1.9119739999999998
2472.0,1.8671379999999997
2472.2,1.8422129999999999
2472.4,1.883728
2472.6,1.922974
2472.8,1.9064759999999998
2473.0,1.8742000000000003
2473.2,1.8501639999999997
2473.4,1.784427
2473.6,1.7006900000000003
2473.8,1.7160780000000002
2474.0,1.780509
2474.2,1.876582
2474.4,1.935496
2474.6,1.920942
2474.8,1.8595340000000002
2475.0,1.809163
2475.2,1.8016109999999999
2475.4,1.7913139999999999
2475.6,1.789711
2475.8,1.8200300000000003
2476.0,1.853541
2476.2,1.8480240000000001
2476.4,1.828167
2476.6,1.8157299999999998
2476.8,1.801865
2477.0,1.8183049999999998
2477.2,1.8567209999999998
2477.4,1.8132639999999998
2477.6,1.819262
2477.8,1.823744
2478.0,1.8361409999999998
2478.2,1.8420290000000001
2478.4,1.7830579999999998
2478.6,1.7219579999999999
2478.8,1.757288
2479.0,1.8317539999999999
2479.2,1.8349529999999998
2479.4,1.818419
2479.6,1.810006
2479.8,1.831775
2480.0,1.8654460000000002
2480.2,1.844117
2480.4,1.8070579999999998
2480.6,1.8156970000000001
2480.8,1.8307559999999998
2481.0,1.8147190000000002
2481.2,1.82894
2481.4,1.8037159999999999
2481.6,1.7964019999999998
2481.8,1.775284
2482.0,1.8037130000000001
2482.2,1.8375299999999999
2482.4,1.8531360000000001
2482.6,1.851699
2482.8,1.8362109999999998
2483.0,1.8563360000000002
2483.2,1.827933
2483.4,1.859609
2483.6,1.8530069999999998
2483.8,1.812948
2484.0,1.7522539999999998
2484.2,1.7423419999999998
2484.4,1.769409
2484.6,1.8476890000000001
2484.8,1.906008
2485.0,1.880408
2485.2,1.851448
2485.4,1.8310549999999999
2485.6,1.8493789999999999
2485.8,1.8689619999999998
2486.0,1.855521
2486.2,1.835891
2486.4,1.8189760000000001
2486.6,1.8270499999999998
2486.8,1.854629
2487.0,1.857341
2487.2,1.8700739999999998
2487.4,1.859634
2487.6,1.8437109999999999
2487.8,1.819406
2488.0,1.825142
2488.2,1.8308410000000002
2488.4,1.87472
2488.6,1.8803230000000002
2488.8,1.8781299999999999
2489.0,1.8777869999999999
2489.2,1.881948
2489.4,1.918243
2489.6,1.9690550000000002
2489.8,1.9372880000000001
2490.0,1.791048
2490.2,1.767999
2490.4,1.7881179999999999
2490.6,1.855233
2490.8,1.9090520000000002
2491.0,1.8937560000000002
2491.2,1.8408289999999998
2491.4,1.795159
2491.6,1.7906849999999999
2491.8,1.8023629999999997
2492.0,1.816285
2492.2,1.7933729999999999
2492.4,1.7968730000000002
2492.6,1.8407650000000002
2492.8,1.880502
2493.0,1.884157
2493.2,1.887416
2493.4,1.8650220000000002
2493.6,1.827983
2493.8,1.8264669999999998
2494.0,1.8485639999999999
2494.2,1.855755
2494.4,1.8572829999999998
2494.6,1.8024870000000002
2494.8,1.771998
2495.0,1.8052069999999998
2495.2,1.837427
2495.4,1.8342019999999999
2495.6,1.812438
2495.8,1.8416420000000002
2496.0,1.825458
2496.2,1.7822479999999998
2496.4,1.749282
2496.6,1.766057
2496.8,1.7676610000000001
2497.0,1.8461060000000002
2497.2,1.9075830000000003
2497.4,1.927334
2497.6,1.915887
2497.8,1.886564
2498.0,1.838978
2498.2,1.777872
2498.4,1.7912880000000002
2498.6,1.8654769999999998
2498.8,1.9048379999999998
2499.0,1.955421
2499.2,1.972226
2499.4,1.9095259999999998
2499.6,1.8808540000000002
2499.8,1.8560020000000002
2500.0,1.820928
2500.2,1.8241139999999998
2500.4,1.864207
