Depth(m) Code COT DT GR NPHI RHOB
2453.4 57 2.77761455226713 111.9552 81.511 43.7012 2.1583
2453.6 57 2.7088935290341722 112.1126 79.5424 43.036 2.1967
2453.8 57 2.7121328729924015 113.3011 79.6358 42.7733 2.1912
2454.0 57 2.7523782558312413 115.5934 80.7889 43.6244 2.183
2454.2 57 2.865337235446743 119.9063 84.0243 47.4605 2.0883
2454.4 57 2.9873829769626803 122.7508 87.5199 50.5174 1.9448
2454.6 57 3.0173847596843704 121.6151 88.3792 48.3587 1.9437
2454.8 57 2.9650986959024275 118.6627 86.8818 45.6243 2.0879
2455.0 57 2.8934638888558917 115.5141 84.8303 45.6773 2.208
2455.2 57 2.83397797697068 112.3816 83.1261 47.7849 2.1735
2455.4 57 2.7480845191309413 110.4007 80.6652 47.4341 2.1054
2455.6 57 2.7403136407606334 110.3423 80.4429 42.4705 2.1664
2455.8 57 2.854481088593679 109.8483 83.7138 41.6508 2.2327
2456.0 57 2.9070813841732814 109.2386 85.2205 45.8174 2.1273
2456.2 57 2.812933584721118 109.9597 82.5234 46.8768 2.049
2456.4 57 2.6933472061307553 110.8453 79.0977 44.034 2.1269
2456.6 57 2.6886151275657646 110.1758 78.962 42.5617 2.2319
2456.8 57 2.795431400700502 109.1296 82.0218 43.0905 2.2535
2457.0 57 3.013748476182202 108.5314 88.276 44.2738 2.2629
2457.2 57 3.23911620064774 111.8531 94.7322 44.6215 2.2763
2457.4 57 3.277771650113565 116.1333 95.8395 44.0483 2.2568
2457.6 57 3.167306607010383 119.6564 92.6746 45.1987 2.2054
2457.8 57 2.9958812125814114 121.2438 87.7637 45.8563 2.138
2458.0 57 2.8855056951476272 121.6118 84.6019 45.1738 2.094
2458.2 57 2.8423838035402254 120.0523 83.3665 45.9356 2.0262
2458.4 57 2.867784182056528 118.2263 84.0942 48.602 1.9515
2458.6 57 2.9357868799569413 116.8981 86.0424 49.056 2.0016
2458.8 57 2.9869662272906816 115.1169 87.5086 44.1462 2.0812
2459.0 57 2.9204767842583887 112.8481 85.604 43.3214 2.1206
2459.2 57 2.7617342605258886 110.0859 81.0565 46.9699 2.1813
2459.4 57 2.695857724331464 106.5538 79.1693 47.2714 2.2349
2459.6 57 2.769206595353595 104.018 81.2707 45.0496 2.2658
2459.8 57 2.887045288507459 106.6055 84.6467 42.1634 2.3004
2460.0 57 2.935802595432862 111.9465 86.0436 43.2472 2.3274
2460.2 57 2.8592013089328012 119.8099 83.8487 47.3542 2.289
2460.4 57 2.7584268429801693 124.1179 80.9612 50.5713 2.143
2460.6 57 2.7086509245399504 124.0444 79.5349 50.6297 2.0426
2460.8 57 2.6669002358665566 119.9556 78.3391 48.6982 2.0423
2461.0 57 2.6269183986718567 114.373 77.1944 45.8843 2.1011
2461.2 57 2.5862479220708203 109.868 76.0296 45.3021 2.1561
2461.4 57 2.554582200487946 109.2929 75.1223 46.4542 2.1813
2461.6 57 2.6115637823657805 110.3319 76.7547 46.3905 2.2274
2461.8 57 2.742162087199386 110.1167 80.4961 45.0604 2.2399
2462.0 57 2.8050084597219125 109.4604 82.2963 45.6828 2.1999
2462.2 57 2.691566705451388 109.2479 79.0463 44.967 2.2107
2462.4 57 2.5237325414298852 110.1394 74.2384 42.3028 2.2672
2462.6 57 2.546060282653614 112.5182 74.8782 44.7117 2.2428
2462.8 57 2.6856807361069155 115.3824 78.8777 49.1136 2.1515
2463.0 57 2.7527280180290616 116.7469 80.7982 49.7092 2.1261
2463.2 57 2.7892496233955244 118.2688 81.8445 48.1459 2.1336
2463.4 57 2.8091176444800974 119.7742 82.4137 48.9472 2.1078
2463.6 57 2.788794856901151 120.6637 81.8315 47.6043 2.1026
2463.8 57 2.7485426204840886 119.4026 80.6785 43.8754 2.1228
2464.0 57 2.664198754923225 113.4652 78.2626 41.7084 2.0974
2464.2 57 2.5569545890282788 106.5224 75.1905 39.5511 2.0562
2464.4 57 2.474501406106671 100.0161 72.8286 34.7869 2.1177
2464.6 57 2.480393789074357 99.3189 72.9975 30.3329 2.2354
2464.8 57 2.530763306381887 105.8697 74.4403 29.1602 2.2947
2465.0 57 2.6515513526234784 114.1329 77.9001 30.7941 2.2642
2465.2 57 2.7859134062538615 118.0545 81.7488 32.0972 2.2399
2465.4 57 2.7981034000223435 118.9153 82.098 31.1704 2.2587
2465.6 57 2.830104125089636 119.8302 83.0149 31.2368 2.2548
2465.8 57 2.8267332084337653 120.3911 82.9183 32.3906 2.2435
2466.0 57 2.719049489811897 120.5539 79.8333 30.8983 2.2638
2466.2 58 2.728308009733864 120.0 80.0986 30.2481 2.2725
2466.4 58 2.837467900856771 117.5625 83.2259 31.5202 2.255
2466.6 58 2.767925101493618 114.1347 81.2338 31.8728 2.2608
2466.8 58 2.6812486009729213 112.4163 78.7509 30.1732 2.2969
2467.0 58 2.827270106329218 112.7885 82.9341 29.8785 2.3053
2467.2 58 2.9566186580071303 112.8392 86.6396 30.2776 2.2939
2467.4 58 2.7558568700174577 113.4775 80.8882 30.8973 2.2987
2467.6 58 2.7428151432876327 114.2286 80.5145 30.8526 2.3119
2467.8 58 3.083021174973269 114.1036 90.2605 29.9519 2.3223
2468.0 58 3.2554353403176166 113.1649 95.1998 29.3257 2.332
2468.2 58 2.991490209271614 113.0221 87.6385 28.8401 2.3343
2468.4 58 2.7162990211008724 113.2165 79.755 29.317 2.3332
2468.6 58 2.615891567164452 114.747 76.8785 30.5041 2.3326
2468.8 58 2.5907423485326504 116.5694 76.1579 31.6672 2.3175
2469.0 58 2.5875416368448083 117.0121 76.0661 31.0613 2.298
2469.2 58 2.5578023884480166 115.1809 75.2142 29.4239 2.2959
2469.4 58 2.4861909929583748 113.1379 73.1629 27.9291 2.3112
2469.6 58 2.5036469569519024 111.8232 73.6631 28.8694 2.3147
2469.8 58 2.5292956055710833 111.6825 74.3978 28.9634 2.32
2470.0 58 2.482350159526999 112.6913 73.0528 27.7041 2.3385
2470.2 58 2.468584314582441 113.3159 72.6584 27.2162 2.3358
2470.4 58 2.5052389602066962 112.5357 73.7085 27.9468 2.3208
2470.6 58 2.479851953855516 110.7252 72.9813 27.979 2.3236
2470.8 58 2.376533873282024 108.7196 70.0216 26.9297 2.3351
2471.0 58 2.30500951902913 107.4965 67.9727 26.1976 2.3406
2471.2 58 2.4595667863563437 107.7489 72.4004 26.0757 2.3344
2471.4 58 2.6395714162186237 107.8261 77.5571 26.7685 2.3262
2471.6 58 2.609059690198262 108.3642 76.683 27.0135 2.3264
