Depth(m) Code COT DT GR NPHI RHOB
2453.4 57 2.7776145522671296 111.9552 81.511 43.7012 2.1583
2453.6 57 2.708893529034172 112.1126 79.5424 43.036 2.1967
2453.8 57 2.712132872992401 113.3011 79.6358 42.7733 2.1912
2454.0 57 2.752378255831241 115.5934 80.7889 43.6244 2.183
2454.2 57 2.8653372354467423 119.9063 84.0243 47.4605 2.0883
2454.4 57 2.98738297696268 122.7508 87.5199 50.5174 1.9448
2454.6 57 3.0173847596843704 121.6151 88.3792 48.3587 1.9437
2454.8 57 2.965098695902427 118.6627 86.8818 45.6243 2.0879
2455.0 57 2.8934638888558912 115.5141 84.8303 45.6773 2.208
2455.2 57 2.8339779769706794 112.3816 83.1261 47.7849 2.1735
2455.4 57 2.7480845191309413 110.4007 80.6652 47.4341 2.1054
2455.6 57 2.740313640760633 110.3423 80.4429 42.4705 2.1664
2455.8 57 2.854481088593679 109.8483 83.7138 41.6508 2.2327
2456.0 57 2.9070813841732814 109.2386 85.2205 45.8174 2.1273
2456.2 57 2.812933584721118 109.9597 82.5234 46.8768 2.049
2456.4 57 2.693347206130755 110.8453 79.0977 44.034 2.1269
2456.6 57 2.6886151275657646 110.1758 78.962 42.5617 2.2319
2456.8 57 2.795431400700502 109.1296 82.0218 43.0905 2.2535
2457.0 57 3.0137484761822018 108.5314 88.276 44.2738 2.2629
2457.2 57 3.2391162006477394 111.8531 94.7322 44.6215 2.2763
2457.4 57 3.2777716501135647 116.1333 95.8395 44.0483 2.2568
2457.6 57 3.1673066070103824 119.6564 92.6746 45.1987 2.2054
2457.8 57 2.995881212581411 121.2438 87.7637 45.8563 2.138
2458.0 57 2.885505695147627 121.6118 84.6019 45.1738 2.094
2458.2 57 2.8423838035402254 120.0523 83.3665 45.9356 2.0262
2458.4 57 2.867784182056528 118.2263 84.0942 48.602 1.9515
2458.6 57 2.935786879956941 116.8981 86.0424 49.056 2.0016
2458.8 57 2.986966227290681 115.1169 87.5086 44.1462 2.0812
2459.0 57 2.9204767842583887 112.8481 85.604 43.3214 2.1206
2459.2 57 2.761734260525888 110.0859 81.0565 46.9699 2.1813
2459.4 57 2.6958577243314634 106.5538 79.1693 47.2714 2.2349
2459.6 57 2.7692065953535945 104.018 81.2707 45.0496 2.2658
2459.8 57 2.8870452885074585 106.6055 84.6467 42.1634 2.3004
2460.0 57 2.9358025954328615 111.9465 86.0436 43.2472 2.3274
2460.2 57 2.859201308932801 119.8099 83.8487 47.3542 2.289
2460.4 57 2.7584268429801693 124.1179 80.9612 50.5713 2.143
2460.6 57 2.70865092453995 124.0444 79.5349 50.6297 2.0426
2460.8 57 2.666900235866556 119.9556 78.3391 48.6982 2.0423
