Depth(m) Code COT DT_merge GR
4610.1839 57 0.0703851120226362 62.28869 82.1162
4610.3839 57 0.08704900947739405 62.23649 87.16961
4610.583900000001 57 0.07026370502345222 62.25541 84.96584
4610.7839 57 0.05627976235231372 62.27635 80.55154
4610.9839 57 0.020079612372480626 62.27126 79.14693
4611.1839 57 0.0 62.20635 80.2039
4611.3839 57 0.05069921249642492 62.01371 80.87907
4611.583900000001 57 0.10989606209899264 61.67031 83.80445
4611.7839 57 0.11996928604391174 62.2358 85.13546
4611.9839 57 0.3650372190034727 70.85341 80.91053
4612.1839 57 0.2918380528188384 70.57133 74.01613
4612.3839 57 0.3688688637276283 69.3302 73.96398
4612.583900000001 57 0.48294265331571407 67.69433 77.7013
4612.7839 57 0.5532346621294174 67.98673 75.90786
4612.9839 57 0.572604975512783 68.21166 74.49126
4613.1839 57 0.5489040860556044 67.69106 80.57038
4613.3839 57 0.5336343575797963 67.74475 84.92646
4613.583900000001 57 0.5789371656631617 68.21021 83.26412
4613.7839 57 0.6573900852631912 68.14048 80.74113
4613.9839 57 0.656997960520977 68.27478 82.71071
4614.1839 57 0.6953434580311987 69.3799 88.07739
4614.3839 57 0.7355810257721525 71.60859 90.12601
4614.583900000001 57 0.6744449581926596 72.69229 83.51088
4614.7839 57 0.6060310450830841 70.88038 74.30354
4614.9839 57 0.5995819937013607 68.63996 69.85155
4615.1839 57 0.5627709858967719 67.11306 70.67958
4615.3839 57 0.4890671337745225 66.00526 68.56767
4615.583900000001 57 0.46743472377467044 66.04883 62.44262
4615.7839 57 0.5435842468169076 67.2471 60.1523
4615.9839 57 0.5835710223128715 67.39001 64.21358
4616.1839 57 0.6154030336347588 67.07119 70.98837
4616.3839 57 0.6223425058224508 67.10757 77.4356
4616.583900000001 57 0.5580936978849488 67.34928 77.43681
4616.7839 57 0.5617724934666192 65.25507 75.88467
4616.9839 57 0.6337343640130325 64.07539 76.32414
4617.1839 57 0.6213270572187104 64.46217 77.28166
4617.3839 57 0.474899212076772 63.54456 78.97389
4617.583900000001 57 0.47311768788515585 64.74038 79.22416
4617.7839 57 0.47505128357219273 65.28755 79.75772
4617.9839 57 0.5011962417055399 65.49516 82.82132
4618.1839 57 0.5330814077571487 66.01695 84.73824
4618.3839 57 0.5858766850320457 66.25445 79.30043
4618.583900000001 57 0.6174983818881321 66.19413 74.92474
4618.7839 57 0.6558433102790753 65.46624 76.64342
4618.9839 57 0.5665283096453242 65.53423 79.91875
4619.1839 57 0.426712293849272 65.91479 83.95436
4619.3839 57 0.47339078885403696 67.71598 85.67877
4619.583900000001 57 0.5667151304645547 69.8716 79.14312
4619.7839 57 0.5780743740520616 70.31665 72.14169
4619.9839 57 0.4595639253167725 68.96192 69.77046
4620.1839 57 0.4077578499207364 68.95544 65.2525
4620.3839 57 0.43496949188723855 68.67432 62.22868
4620.583900000001 57 0.5880585865336756 67.41116 63.26624
4620.7839 57 0.7098305092573726 67.40777 69.55969
4620.9839 57 0.6926748308809845 67.61433 82.43887
4621.1839 57 0.656571424231736 69.46341 89.51601
4621.3839 57 0.6040230481274532 70.59047 85.48724
4621.583900000001 57 0.5046458055258244 69.6089 78.39343
4621.7839 57 0.5578335804545856 68.43922 69.60156
4621.9839 57 0.7439196802730765 68.39142 61.71953
4622.1839 57 1.13779072657993 69.90709 57.56051
4622.3839 57 1.115056089509272 70.85679 56.27151
4622.583900000001 57 0.8910923192900935 72.75963 57.15993
4622.7839 57 0.9746934237049336 78.95792 58.89288
4622.9839 57 1.0281887531867218 80.94524 58.41314
4623.1839 57 0.7209042274215043 76.11918 58.68937
4623.3839 57 0.24111508311386298 71.43903 61.95696
4623.583900000001 57 0.14175896991037346 71.62498 60.95288
4623.7839 57 0.11949094243212544 71.42489 56.17477
4623.9839 57 0.19811416894848377 72.38321 54.43332
4624.1839 57 0.3294100448141774 72.12621 56.07832
4624.3839 57 0.4323939963536818 67.30088 59.60738
4624.583900000001 57 0.41995942279396825 63.0422 64.90442
4624.7839 57 0.6268994352215045 63.61454 67.56702
4624.9839 57 0.7694672575991328 65.02563 66.30575
4625.1839 57 0.7090161816316708 65.5603 63.71996
4625.3839 57 0.7008540203493722 65.99763 64.1012
4625.583900000001 57 0.7139714222232233 66.27855 68.07047
4625.7839 57 0.7019905043879033 65.61133 71.40765
4625.9839 57 0.8281298151730611 66.22157 72.53648
4626.1839 57 1.0088307340505067 65.88007 74.94181
4626.3839 57 1.1168810883264104 65.99883 75.30981
4626.583900000001 57 0.9941182408403098 66.49458 71.29971
4626.7839 57 0.6797063096967036 65.30498 70.2719
4626.9839 57 0.6469072083294757 64.7792 72.82944
4627.1839 57 0.6927341755448587 64.78038 74.50674
4627.3839 57 0.6476282207764001 64.73216 74.02486
4627.583900000001 57 0.6949824460561337 65.55258 71.59641
4627.7839 57 0.7250286678187029 65.90085 72.08604
4627.9839 57 0.7610299871085165 66.36472 74.32874
4628.1839 57 0.800804203943233 66.36526 73.32571
4628.3839 57 0.9012014047984036 65.12724 68.95052
4628.583900000001 57 0.9292243952351065 63.41393 70.90283
4628.7839 57 0.8834946918213774 62.74067 77.00114
4628.9839 57 0.9154378154564196 63.23304 80.4692
4629.1839 57 1.0153613012280787 65.22336 81.52871
4629.3839 57 1.0461157380204043 66.67151 86.1517
4629.583900000001 57 1.024664072131011 67.57715 88.02592
4629.7839 57 0.9906294639484656 67.35145 83.49362
4629.9839 57 0.9739831805524986 67.02347 76.66174
4630.1839 57 0.9565418702335586 68.16174 72.93355
4630.3839 57 0.9392308178735385 70.08987 70.1381
4630.583900000001 57 0.882388517487866 70.63394 69.62978
4630.7839 57 0.8348897287425465 70.2356 72.24787
4630.9839 57 0.8436675281811737 69.26503 80.5263
4631.1839 57 0.7972108556042942 63.9591 90.51732
4631.3839 57 0.8815718512706934 61.93335 96.54475
4631.583900000001 57 0.9404326246435377 63.25807 100.0862
4631.7839 57 0.7240094638303719 61.87849 103.2265
4631.9839 57 0.6448285554440604 63.57435 104.7638
4632.1839 57 0.874526908861641 68.45663 104.924
4632.3839 57 1.0066691420742868 69.33032 100.6292
4632.583900000001 57 0.962921888940903 65.52872 90.74652
4632.7839 57 1.0180577972431637 64.39206 83.26065
4632.9839 57 1.1057376654294786 64.23837 82.88789
4633.1839 57 1.25628215181509 65.19156 83.96662
4633.3839 57 1.1759176161022158 65.43211 85.64217
4633.583900000001 57 1.1189699791919112 65.28219 89.93607
4633.7839 57 1.23551020949717 65.04066 95.95687
4633.9839 57 1.1038415668199655 64.65527 97.80325
4634.1839 57 1.1142382534528485 64.80956 92.39596
4634.3839 57 1.1198612855161618 64.31364 83.95681
4634.583900000001 57 1.0463499522056268 62.59487 78.65906
4634.7839 57 1.0039488498197027 61.57344 77.28538
4634.9839 57 1.0404388045429847 61.91672 78.84718
4635.1839 57 1.0474307053323015 61.47551 77.56511
4635.3839 57 0.8235544071364853 58.48668 74.00066
4635.583900000001 57 0.6290704463852096 58.25228 72.41086
4635.7839 57 0.700771373463414 61.62304 72.76791
4635.9839 57 0.8016682654457438 65.04967 73.1679
4636.1839 57 0.7057782318395658 66.4521 75.38996
4636.3839 57 0.635363932685712 66.97573 77.10788
4636.583900000001 57 0.6174440653734065 67.01542 78.71275
4636.7839 57 0.59268003015701 66.4362 80.72279
4636.9839 57 0.5880257322721077 66.34538 83.2581
4637.1839 57 0.6322909825129742 67.15705 84.93655
4637.3839 57 0.7284827734346461 68.1431 87.06429
4637.583900000001 57 0.7841891796770634 68.78769 87.77876
4637.7839 57 0.7301333031659473 67.24621 87.16664
4637.9839 57 0.587934376286564 64.41727 80.87896
4638.1839 57 0.8362274409585083 62.57767 72.19694
4638.3839 57 0.91818910998938 62.20573 67.73426
4638.583900000001 57 0.8710557366430981 64.99741 77.05666
4638.7839 57 0.9160662708049248 67.65767 101.5397
4638.9839 57 0.8922096936055031 67.7888 121.202
