Depth(m) COT
4888.401159438007 0.3+/-1.5
4887.238870436989 0.3+/-1.5
4889.388816435515 0.3+/-1.5
4888.238757778218 0.3+/-1.5
4890.377104940591 0.4+/-1.5
4889.23796261728 0.3+/-1.5
4891.3661364854015 0.3+/-1.5
4890.236352178037 0.3+/-1.5
4892.356070026071 0.3+/-1.5
4891.233734930409 0.2+/-1.5
4893.347138047264 0.3+/-1.5
4892.22982630772 0.2+/-1.5
4894.339692184101 0.3+/-1.5
4893.224187101178 0.2+/-1.5
4895.334287774071 0.3+/-1.5
4894.216105285708 0.3+/-1.5
4896.331852441068 0.3+/-1.5
4895.204349861717 0.3+/-1.5
4897.334055242695 0.3+/-1.5
4896.186599869812 0.2+/-1.5
4898.344222578924 0.3+/-1.5
4897.157909877026 0.3+/-1.5
4899.370049342546 0.3+/-1.5
4898.105589883953 0.3+/-1.5
4900.4341453741545 0.3+/-1.5
4898.984724067894 0.2+/-1.5
4901.6420678663835 0.3+/-1.5
4899.4566230881865 0.3+/-1.5
4908.802218683763 0.2+/-1.5
4912.118894342093 0.2+/-1.5
4912.710167462157 0.2+/-1.5
4912.604624184029 0.2+/-1.5
4913.915412717034 0.2+/-1.5
4913.484405158635 0.2+/-1.5
4914.979592906169 0.2+/-1.5
4914.431618873551 0.2+/-1.5
4916.006141493189 0.2+/-1.5
4915.4020066102585 0.2+/-1.5
4917.0174044954465 0.2+/-1.5
4916.383002018099 0.3+/-1.5
4918.021012626328 0.2+/-1.5
4917.369695376602 0.2+/-1.5
4919.020271488611 0.2+/-1.5
4918.359778128477 0.2+/-1.5
4920.016842752791 0.3+/-1.5
4919.352023506562 0.3+/-1.5
4921.011651889499 0.3+/-1.5
4920.345720207778 0.2+/-1.5
4922.00525454145 0.2+/-1.5
4921.340427950442 0.1+/-1.5
4922.998004013317 0.2+/-1.5
4922.335860016695 0.3+/-1.5
4923.990135343803 0.3+/-1.5
4923.331821974286 0.3+/-1.5
4924.981810700968 0.2+/-1.5
4924.328177552445 0.2+/-1.5
4925.973145375181 0.2+/-1.5
4925.324828602943 0.2+/-1.5
4926.964223398649 0.3+/-1.5
4926.321702801948 0.4+/-1.5
4927.955107318669 0.3+/-1.5
4927.318745816347 0.3+/-1.5
4928.945844526882 0.3+/-1.5
4928.315916152132 0.4+/-1.5
4929.936471481283 0.4+/-1.5
4929.3131816718915 0.3+/-1.5
4930.927016596082 0.3+/-1.5
4930.31051718317 0.2+/-1.5
4931.917502265008 0.3+/-1.5
4931.307902732441 0.3+/-1.5
4932.907946306555 0.3+/-1.5
4932.305322375352 0.3+/-1.5
4933.898363014875 0.3+/-1.5
4933.30276327504 0.3+/-1.5
4934.888763936282 0.3+/-1.5
4934.300215031084 0.4+/-1.5
4935.879158451252 0.3+/-1.5
4935.297669173018 0.3+/-1.5
4936.869554216463 0.2+/-1.5
4936.29511877344 0.2+/-1.5
4937.859957504466 0.3+/-1.5
4937.292558148982 0.4+/-1.5
4938.850373467554 0.3+/-1.5
4938.289982626863 0.3+/-1.5
4939.840806344812 0.3+/-1.5
4939.287388360888 0.3+/-1.5
4940.831259625995 0.3+/-1.5
4940.284772185144 0.4+/-1.5
4941.8217361823945 0.3+/-1.5
4941.282131496716 0.3+/-1.5
4942.812238372128 0.3+/-1.5
4942.279464161026 0.3+/-1.5
4943.802768125436 0.3+/-1.5
4943.276768434822 0.3+/-1.5
4944.793327014288 0.3+/-1.5
4944.274042903194 0.4+/-1.5
4945.783916309464 0.4+/-1.5
4945.27128642773 0.3+/-1.5
4946.774537027693 0.3+/-1.5
4946.268498103623 0.3+/-1.5
4947.765189970773 0.4+/-1.5
4947.2656772239625 0.3+/-1.5
4948.75587575816 0.4+/-1.5
4948.262823249921 0.3+/-1.5
4949.746594854288 0.3+/-1.5
4949.25993578574 0.3+/-1.5
4950.737347591545 0.3+/-1.5
4950.257014557575 0.3+/-1.5
4951.728134189645 0.3+/-1.5
4951.2540593957 0.2+/-1.5
4952.718954772117 0.2+/-1.5
4952.251070219317 0.2+/-1.5
4953.709809380267 0.3+/-1.5
4953.2480470236505 0.4+/-1.5
4954.700697985076 0.3+/-1.5
4954.244989868925 0.2+/-1.5
4955.69162049749 0.3+/-1.5
4955.241898870879 0.3+/-1.5
4956.6825767771 0.4+/-1.5
4956.238774192689 0.3+/-1.5
4957.673566639716 0.3+/-1.5
4957.235616037933 0.3+/-1.5
4958.664589863864 0.3+/-1.5
4958.232424644577 0.3+/-1.5
4959.655646196396 0.3+/-1.5
4959.229200279759 0.2+/-1.5
4960.646735357332 0.2+/-1.5
4960.225943235242 0.2+/-1.5
4961.637857044089 0.3+/-1.5
4961.2226538235045 0.3+/-1.5
4962.62901093514 0.3+/-1.5
4962.219332374343 0.2+/-1.5
4963.62019669318 0.3+/-1.5
4963.215979231862 0.4+/-1.5
4964.611413967918 0.3+/-1.5
4964.212594751952 0.3+/-1.5
4965.602662398452 0.2+/-1.5
4965.209179299987 0.2+/-1.5
4966.593941615433 0.3+/-1.5
4966.205733248859 0.3+/-1.5
4967.585251242847 0.2+/-1.5
4967.202256977284 0.2+/-1.5
4968.576590899631 0.2+/-1.5
4968.1987508683105 0.2+/-1.5
4969.567960201093 0.2+/-1.5
4969.195215307981 0.3+/-1.5
4970.559358760128 0.4+/-1.5
4970.191650684202 0.3+/-1.5
4971.550786188268 0.3+/-1.5
4971.188057385771 0.3+/-1.5
4972.542242096618 0.3+/-1.5
4972.184435801466 0.3+/-1.5
4973.533726096679 0.3+/-1.5
4973.180786319336 0.3+/-1.5
4974.525237801053 0.3+/-1.5
4974.177109325988 0.3+/-1.5
4975.516776824036 0.3+/-1.5
4975.173405206064 0.3+/-1.5
4976.508342782179 0.3+/-1.5
4976.169674341729 0.3+/-1.5
4977.499935294721 0.3+/-1.5
4977.165917112233 0.3+/-1.5
4978.49155398401 0.3+/-1.5
4978.162133893547 0.2+/-1.5
4979.483198475822 0.2+/-1.5
4979.158325058063 0.2+/-1.5
4980.47486839967 0.2+/-1.5
4980.154490974303 0.2+/-1.5
4981.466563389061 0.2+/-1.5
4981.150632006706 0.2+/-1.5
4982.458283081661 0.2+/-1.5
4982.146748515416 0.2+/-1.5
4983.450027119534 0.2+/-1.5
4983.142840856157 0.2+/-1.5
4984.441795149228 0.2+/-1.5
4984.138909380064 0.2+/-1.5
4985.433586821929 0.2+/-1.5
4985.134954433597 0.2+/-1.5
4986.4254017935655 0.3+/-1.5
4986.130976358456 0.2+/-1.5
4987.4172397248385 0.2+/-1.5
4987.126975491499 0.3+/-1.5
4988.409100281308 0.3+/-1.5
4988.122952164719 0.4+/-1.5
4989.400983133445 0.4+/-1.5
4989.118906705211 0.2+/-1.5
4990.392887956616 0.2+/-1.5
4990.114839435133 0.2+/-1.5
4991.384814431134 0.2+/-1.5
4991.110750671701 0.2+/-1.5
4992.376762242238 0.2+/-1.5
4992.106640727213 0.2+/-1.5
4993.368731080081 0.2+/-1.5
4993.102509909074 0.2+/-1.5
4994.360720639732 0.3+/-1.5
4994.098358519754 0.2+/-1.5
4995.352730621138 0.2+/-1.5
4995.094186856898 0.2+/-1.5
4996.34476072908 0.2+/-1.5
4996.089995213298 0.2+/-1.5
4997.336810673161 0.2+/-1.5
4997.085783876975 0.2+/-1.5
4998.3288801677445 0.2+/-1.5
4998.081553131189 0.2+/-1.5
4999.320968931922 0.2+/-1.5
4999.077303254523 0.2+/-1.5
5000.313076689425 0.2+/-1.5
5000.073034520904 0.2+/-1.5
5001.305203168637 0.2+/-1.5
5001.068747199698 0.2+/-1.5
5002.297348102476 0.2+/-1.5
5002.064441555715 0.2+/-1.5
5003.289511228353 0.2+/-1.5
5003.06011784931 0.2+/-1.5
5004.281692288127 0.2+/-1.5
5004.055776336438 0.2+/-1.5
5005.273891028023 0.2+/-1.5
5005.051417268703 0.2+/-1.5
5006.266107198594 0.2+/-1.5
5006.047040893444 0.2+/-1.5
5007.2583405545965 0.3+/-1.5
5007.04264745378 0.2+/-1.5
5008.2505908550165 0.2+/-1.5
5008.038237188677 0.2+/-1.5
5009.242857862911 0.3+/-1.5
5009.033810333032 0.2+/-1.5
5010.235141345407 0.2+/-1.5
5010.029367117738 0.3+/-1.5
5011.227441073599 0.3+/-1.5
5011.0249077697235 0.2+/-1.5
5012.219756822508 0.2+/-1.5
5012.020432512045 0.2+/-1.5
5013.212088370983 0.3+/-1.5
5013.015941563942 0.2+/-1.5
5014.204435501661 0.2+/-1.5
5014.011435140922 0.2+/-1.5
5015.196798000893 0.2+/-1.5
5015.006913454797 0.2+/-1.5
5016.18917565869 0.1+/-1.5
5016.00237671377 0.1+/-1.5
5017.181568268621 0.2+/-1.5
5016.997825122486 0.1+/-1.5
5018.173975627793 0.2+/-1.5
5017.9932588821175 0.2+/-1.5
5019.166397536764 0.2+/-1.5
5018.988678190393 0.2+/-1.5
5020.158833799475 0.1+/-1.5
5019.9840832416985 0.1+/-1.5
5021.151284223214 0.2+/-1.5
5020.9794742271215 0.1+/-1.5
5022.14374861851 0.2+/-1.5
5021.974851334488 0.2+/-1.5
5023.136226799135 0.2+/-1.5
5022.970214748477 0.1+/-1.5
5024.128718581981 0.1+/-1.5
5023.965564650627 0.1+/-1.5
5025.121223787041 0.2+/-1.5
5024.960901219424 0.2+/-1.5
5026.113742237344 0.1+/-1.5
5025.956224630363 0.1+/-1.5
5027.106273758868 0.2+/-1.5
5026.951535055973 0.1+/-1.5
5028.098818180541 0.1+/-1.5
5027.946832665903 0.1+/-1.5
5029.091375334135 0.1+/-1.5
5028.942117626968 0.1+/-1.5
5030.083945054233 0.1+/-1.5
5029.937390103202 0.1+/-1.5
5031.076527178174 0.2+/-1.5
5030.932650255906 0.2+/-1.5
5032.069121546005 0.1+/-1.5
5031.927898243704 0.1+/-1.5
5033.061728000408 0.1+/-1.5
5032.923134222596 0.2+/-1.5
5034.054346386691 0.1+/-1.5
5033.918358346015 0.1+/-1.5
5035.046976552684 0.1+/-1.5
5034.913570764853 0.1+/-1.5
5036.039618348739 0.2+/-1.5
5035.908771627526 0.1+/-1.5
5037.032271627677 0.1+/-1.5
5036.903961080026 0.2+/-1.5
5038.024936244678 0.2+/-1.5
5037.899139265953 0.1+/-1.5
5039.017612057334 0.1+/-1.5
5038.894306326568 0.2+/-1.5
5040.01029892553 0.1+/-1.5
5039.889462400842 0.1+/-1.5
5041.00299671143 0.1+/-1.5
5040.8846076254995 0.1+/-1.5
5041.995705279426 0.2+/-1.5
5041.879742135041 0.3+/-1.5
5042.988424496094 0.2+/-1.5
5042.874866061807 0.2+/-1.5
5043.981154230167 0.2+/-1.5
5043.869979536016 0.2+/-1.5
5044.973894352466 0.2+/-1.5
5044.86508268581 0.2+/-1.5
5045.966644735899 0.2+/-1.5
5045.860175637254 0.2+/-1.5
5046.95940525538 0.2+/-1.5
5046.855258514449 0.2+/-1.5
5047.952175787819 0.2+/-1.5
5047.850331439486 0.2+/-1.5
5048.94495621209 0.2+/-1.5
5048.845394532549 0.2+/-1.5
5049.937746408954 0.2+/-1.5
5049.840447911923 0.2+/-1.5
5050.930546261068 0.2+/-1.5
5050.835491694027 0.2+/-1.5
5051.923355652927 0.2+/-1.5
5051.830525993463 0.2+/-1.5
5052.916174470834 0.2+/-1.5
5052.825550923029 0.2+/-1.5
5053.909002602861 0.3+/-1.5
5053.82056659378 0.3+/-1.5
5054.901839938829 0.3+/-1.5
5054.815573115037 0.3+/-1.5
5055.894686370269 0.2+/-1.5
5055.810570594428 0.3+/-1.5
5056.887541790379 0.3+/-1.5
5056.805559137927 0.3+/-1.5
5057.880406094016 0.3+/-1.5
5057.800538849883 0.3+/-1.5
5058.873279177633 0.2+/-1.5
5058.79550983301 0.2+/-1.5
5059.866160939285 0.3+/-1.5
5059.790472188505 0.2+/-1.5
5060.859051278578 0.3+/-1.5
5060.78542601598 0.3+/-1.5
5061.851950096638 0.4+/-1.5
5061.780371413547 0.4+/-1.5
5062.844857296117 0.2+/-1.5
5062.775308477832 0.3+/-1.5
5063.837772781104 0.3+/-1.5
5063.770237304011 0.2+/-1.5
5064.830696457153 0.2+/-1.5
5064.765157985826 0.2+/-1.5
5065.823628231229 0.2+/-1.5
5065.76007061559 0.3+/-1.5
5066.816568011707 0.3+/-1.5
5066.754975284264 0.3+/-1.5
5067.809515708313 0.3+/-1.5
5067.749872081447 0.3+/-1.5
5068.802471232114 0.3+/-1.5
5068.744761095398 0.3+/-1.5
5069.795434495508 0.3+/-1.5
5069.73964241307 0.3+/-1.5
5070.7884054121805 0.3+/-1.5
5070.7345161201365 0.3+/-1.5
5071.781383897094 0.3+/-1.5
5071.729382301018 0.3+/-1.5
5072.774369866459 0.4+/-1.5
5072.724241038885 0.3+/-1.5
5073.767363237711 0.4+/-1.5
5073.719092415686 0.3+/-1.5
5074.760363929481 0.3+/-1.5
5074.713936512199 0.3+/-1.5
5075.753371861611 0.3+/-1.5
5075.708773408015 0.3+/-1.5
5076.746386955086 0.3+/-1.5
5076.703603181558 0.3+/-1.5
5077.739409132024 0.3+/-1.5
5077.698425910139 0.4+/-1.5
5078.732438315696 0.4+/-1.5
5078.693241669959 0.4+/-1.5
5079.725474430448 0.5+/-1.5
5079.688050536113 0.4+/-1.5
5080.718517401715 0.4+/-1.5
5080.68285258263 0.4+/-1.5
5081.711567156005 0.4+/-1.5
