Depth(m) COT DT GR NPHI RHOB
4865.704600000001 3.3899920694695926 69.67917 107.6923 9.729524 2.573599
4865.9046 3.479271100729795 71.00719 110.2066 13.04739 2.592994
4866.104600000001 3.596298197379001 73.20632 113.4994 17.39008 2.605418
4866.3046 3.6916053936233353 74.63442 116.1863 19.23136 2.606718
4866.5046 3.841739600905875 74.79912 120.4697 20.28578 2.604977
4866.704600000001 3.9443148095553036 73.36753 123.3326 21.19494 2.586797
4866.9046 3.819009285644616 72.03408 119.8003 21.3508 2.596184
4867.104600000001 3.8592184845337396 72.06978 120.9363 18.3096 2.572692
4867.3046 3.9125978036630205 72.39473 122.4426 16.01695 2.58912
4867.5046 3.6334185175124096 72.80901 114.5509 17.2298 2.616672
4867.704600000001 3.19771618927986 73.49989 102.2344 20.34066 2.628325
4867.9046 3.165280301083796 74.54584 101.3111 19.35744 2.623063
4868.104600000001 3.362057859326858 75.84095 106.8633 17.4904 2.588685
4868.3046 3.648346714341587 76.67062 114.9479 18.41898 2.619383
4868.5046 4.030837698693956 74.12301 125.7727 22.30652 2.653815
4868.704600000001 4.341416837070836 69.66614 134.5777 20.99211 2.643165
4868.9046 4.171518641416035 64.41553 129.8105 14.19557 2.616136
4869.104600000001 3.8546828525676227 60.99068 120.8794 7.976557 2.605836
4869.3046 3.5047314691933558 62.51266 110.9807 7.019992 2.565035
4869.5046 3.688590983319477 66.709 116.1492 9.912215 2.555676
4869.704600000001 4.105523266021297 70.65028 127.9055 16.81847 2.58649
4869.9046 4.399645963523065 73.52707 136.1983 22.92111 2.623417
4870.104600000001 4.38385305369424 73.12672 135.7546 25.1836 2.624285
4870.3046 4.064411342917954 70.8308 126.7426 23.36593 2.603886
4870.5046 3.982641060269734 69.28232 124.4419 16.49534 2.638654
4870.704600000001 4.194238189704693 69.40695 130.4204 11.92641 2.618495
4870.9046 4.40375742946937 71.5499 136.3272 15.10945 2.654341
4871.104600000001 4.303584201818511 73.46353 133.4842 16.71153 2.626199
4871.3046 4.09832654636652 74.16913 127.6795 18.34637 2.63381
4871.5046 3.920277991696497 75.52353 122.6395 21.82243 2.590338
4871.704600000001 3.873860015005132 77.34596 121.3161 21.57367 2.636672
4871.9046 3.9573549321055568 76.13268 123.6833 18.90236 2.639664
4872.104600000001 4.027314302350013 74.61053 125.67 20.94636 2.62605
4872.3046 3.91596764074417 74.15524 122.5265 22.09007 2.628747
