Depth(m) Code COT DT GR NPHI RHOB
2541.189 57 1.5083107647261005 139.3843896420329 92.89274 93.17154 1.637572
2541.389 57 1.3820895422621544 130.641073632426 88.49168 167.6207 1.637414
2541.589 57 1.2274893240887899 118.0188694951393 82.9122 165.8454 2.117382
2541.789 57 1.1142635866507413 109.9276380563948 81.21141 116.3344 2.255978
2541.989 57 1.1078963985541006 108.0970329825335 82.59103 63.71414 2.249707
2542.189 57 1.1398934128646012 110.1818672440476 86.32214 62.48306 2.22502
2542.389 57 1.1732486026462743 112.0512404954966 89.54437 48.64325 2.107396
2542.589 57 1.1339756893107418 111.336141811582 88.98045 73.60999 1.836575
2542.789 57 1.08720475010647 109.0703267575518 86.62366 63.33007 1.743206
2542.989 57 1.1523923678067218 109.927147952904 84.32853 73.61654 1.640507
2543.189 57 1.2280689461185803 115.5805947010841 84.18935 79.53671 1.576768
2543.389 57 1.1712703133757094 121.7438266984479 85.52488 87.48456 1.507967
2543.589 57 1.1480901678126705 120.4820471535921 84.34937 169.906 1.327268
2543.789 57 1.0387872487317522 111.1843464167874 81.27056 102.8086 1.462817
2543.989 57 0.9674220652464953 101.1986514514486 77.27859 78.77689 1.587505
2544.189 57 0.8693883925466767 98.81448061884925 73.0789 93.25528 2.211798
2544.389 57 0.8604116415228035 105.8537499735686 71.52596 52.83493 2.441265
2544.589 57 1.0108211650838748 117.7917424199517 73.77423 56.06574 2.225838
2544.789 57 1.0625386449201653 129.491181621407 79.24007 45.06778 1.748636
2544.989 57 1.3295845068384735 135.1802702175353 87.16615 72.85455 1.685391
2545.189 57 1.5209723222833098 132.8207922507508 91.94314 160.8438 1.649162
2545.389 57 1.4617056275128957 123.2886507129465 90.51395 121.7673 1.826369
2545.589 57 1.1243253345044744 110.1047027467778 88.49013 133.2235 1.727128
2545.789 57 0.9513124375311386 98.06271646653278 89.40756 115.0837 1.429587
2545.989 57 0.9207224357780457 90.25770642938646 88.17022 106.2411 1.484649
2546.189 57 0.938101621863053 89.80738680380983 84.60821 149.0208 1.760502
2546.389 57 0.9652786861363605 94.82637570599606 84.20399 143.8705 1.977577
2546.589 57 0.9895579207057004 102.2153776273879 85.70649 86.78071 1.676232
2546.789 57 1.1272222621411219 109.2212457131292 86.60504 76.10846 1.589356
2546.989 57 1.1485075907212772 114.8972668985677 85.88589 130.5986 1.910985
2547.189 57 1.170299002821872 119.1476619650372 84.59197 89.97952 1.762229
2547.389 57 1.23470589769967 121.2119278795137 82.78171 132.6743 1.705168
2547.589 57 1.1615815207812599 120.3299809253116 81.1974 110.633 1.988103
2547.789 57 1.1008378833603631 117.209285385649 80.89859 117.818 1.971638
2547.989 57 1.0326291506715501 114.1019621120665 80.98936 86.35888 2.06225
2548.189 57 1.0505653908986214 113.9603736857406 81.33533 58.71329 1.953907
2548.389 57 1.1188418482519409 115.8779700371884 82.30619 53.77145 1.983454
2548.589 57 1.2193551064113615 116.5914625032682 84.95203 64.15324 1.725946
2548.789 57 1.2059721791442168 113.577828615039 88.03792 119.2623 1.40142
2548.989 57 1.1470024675184376 109.4272311753779 87.98179 136.6888 1.425483
2549.189 57 1.053035945809707 106.5649669376918 86.68353 76.66548 1.547986
2549.389 57 1.046245362706754 105.4421041293403 86.85658 137.2499 1.538495
2549.589 57 1.0357835480337962 105.8812461512608 86.02488 86.18207 1.468568
2549.789 57 1.0473145970948445 109.544638566149 83.15989 89.04357 1.49016
2549.989 57 1.1477572260365168 117.3339270644289 82.79516 67.40582 1.671685
2550.189 57 1.3265667248883928 125.0649215417909 86.57913 39.6433 2.140186
2550.389 57 1.3977730312288303 128.5242161788349 88.5358 38.73141 2.198075
2550.589 57 1.269927933078261 127.3480795512365 83.63688 44.44102 2.140173
2550.789 57 1.172471620844572 125.1504906681872 79.48132 51.6368 2.126599
2550.989 57 1.2377418785035519 123.7266551941406 82.97579 43.02071 2.257087
2551.189 57 1.403255369918207 121.9417839951418 90.79008 37.64388 2.217309
2551.389 57 1.4831730620361547 118.6301054065892 95.38274 39.39768 2.186499
2551.589 57 1.5209619942790051 115.3356827262826 98.4258 36.19773 2.220103
2551.789 57 1.6065764938155218 114.4481745842578 102.6313 48.05684 2.220731
2551.989 57 1.6703960802776603 117.9004974365275 103.7316 45.74047 2.1757
2552.189 57 1.6451830337083448 123.5361081821641 100.8261 48.58123 2.125558
2552.389 57 1.5981707831003895 128.3285889713201 96.81816 52.08831 2.126544
2552.589 57 1.5378795997212302 128.7232620359416 94.29102 51.56678 2.032526
2552.789 57 1.4202732196002645 124.4967287318883 91.15647 54.57559 2.042927
2552.989 57 1.1687631128829286 117.7887073827223 83.92828 64.93886 2.202397
2553.189 57 0.9041700832040869 113.284330092703 74.46694 78.74213 2.142995
2553.389 57 0.8756573036979797 114.5455925408339 72.21257 50.09387 2.280828
2553.589 57 1.0776684956061116 119.6914813224382 78.2835 40.60187 2.269556
2553.789 57 1.304386670520385 123.4490717890389 86.49927 45.95975 2.225099
2553.989 57 1.4016757119175893 123.6079894538943 91.26086 55.20754 2.152648
2554.189 57 1.4945006772459077 124.2009775957719 94.84628 59.06747 2.119608
2554.389 57 1.6859764099575334 128.1106555368054 100.6932 53.72187 2.184332
2554.589 57 1.7750397707180943 132.1579049177982 102.978 52.45091 2.113053
2554.789 57 1.7361033659936886 132.5065866705619 102.229 39.13336 2.049582
2554.989 57 1.7292733261938624 130.553637366907 102.7737 56.32009 2.035161
2555.189 57 1.7199918785634258 129.6083107295003 102.7155 95.18368 2.055001
2555.389 57 1.6559452926914018 128.6239600794825 100.8419 64.88108 2.04501
2555.589 57 1.4767177261435003 125.4412571464012 94.88004 54.43106 1.997407
2555.789 57 1.2609683215074756 121.7480500589204 87.34266 54.43668 2.105974
2555.989 57 1.224602733479847 121.8627994166904 84.59197 64.27679 2.125303
2556.189 57 1.3039672182367952 126.1977384672369 85.43738 52.9317 2.216877
2556.389 57 1.3977928837593205 130.9127259742567 87.86258 49.28632 2.164503
2556.589 57 1.5967340638927818 131.3592735150374 96.05058 41.21993 2.074896
2556.789 57 1.8286156565965996 126.8727108812619 107.6189 40.51974 2.141068
2556.989 57 1.8474020117451198 120.1114991556025 111.4254 37.85892 2.060304
