Depth(m) Code COT DT GR NPHI RHOB
2108.1003 49 1.74003542657309 115.8271 64.05950164794922 -9999.0 2.1929
2108.3003 49 1.6251766478703633 111.3435 61.70539855957031 -9999.0 2.2475
2108.5003 49 1.512920587834874 107.777 62.78829956054688 -9999.0 2.2163
2108.7003 49 1.3958476794024064 104.6154 65.54650115966797 -9999.0 2.1164
2108.9003 49 1.2453450233071777 97.8757 69.83799743652344 -9999.0 2.0742
2109.1003 49 1.2117929789674586 93.4569 71.08560180664062 -9999.0 2.2032
2109.3003 49 1.3045248328222314 94.5969 66.03759765625 -9999.0 2.375
2109.5003 49 1.5025339030726879 103.0571 62.12530136108398 -9999.0 2.4642
2109.7003 49 1.7827621429989455 117.9837 64.90660095214844 -9999.0 2.4762
2109.9003 49 1.877879925584748 125.1159 72.61519622802734 -9999.0 2.3898
2110.1003 49 1.840175580390841 126.826 78.4469985961914 -9999.0 2.2252
2110.3003 49 1.9037229463389589 133.4049 79.30780029296875 -9999.0 2.0805
2110.5003 49 1.9535818525895965 137.7059 80.34490203857422 -9999.0 1.998
2110.7003 49 1.9040892307813189 135.6613 78.60289764404297 -9999.0 1.9432
2110.9003 49 1.7500357885109863 127.7876 74.80740356445312 -9999.0 1.8987
2111.1003 49 1.5802031726874115 118.2859 76.39350128173828 -9999.0 1.814
2111.3003 49 1.4411275501312706 108.5841 81.39700317382812 -9999.0 1.6978
2111.5003 49 1.3862834279681007 102.2023 90.10669708251952 -9999.0 1.7399
2111.7003 49 1.3667715637312021 98.4014 98.8542022705078 -9999.0 1.9717
2111.9003 49 1.404176940505434 99.6323 127.0891 -9999.0 2.2051
2112.1003 57 1.4327446097097405 102.2122 162.1746 -9999.0 2.3122
2112.3003 57 1.430255920807685 103.823 159.5616 -9999.0 2.2557
2112.5003 57 1.4175101997962196 104.5294 126.7428 -9999.0 2.1027
2112.7003 57 1.4226429715729312 105.028 104.9221 -9999.0 2.0414
2112.9003 57 1.440388805669495 105.5514 96.2961 -9999.0 2.1076
2113.1003 49 1.474170816588852 106.7827 91.7911 -9999.0 2.1918
2113.3003 49 1.5402488198322728 109.9152 92.9303 -9999.0 2.2715
2113.5003 49 1.5752836119851201 112.4284 92.5844 -9999.0 2.3299
2113.7003 49 1.5330699717693848 112.4087 89.7451 -9999.0 2.3065
2113.9003 49 1.4023343511991475 108.692 83.7751 -9999.0 2.1603
2114.1003 49 1.2533094216400904 101.0424 77.7608 -9999.0 2.0348
2114.3003 49 1.252846192607455 95.773 73.3969 -9999.0 2.1218
2114.5003 49 1.3288718670894393 93.8962 64.9953 -9999.0 2.3624
2114.7003 49 1.288904052209137 92.9604 57.415 -9999.0 2.4548
2114.9003 49 1.156568558140544 91.1607 62.5294 -9999.0 2.2809
2115.1003 49 1.0518074910637534 88.0295 75.885 -9999.0 2.1382
2115.3003 49 1.012707801977401 81.9898 83.7257 -9999.0 2.1748
2115.5003 49 0.8244287792079494 63.932 82.7113 -9999.0 2.267
2115.7003 49 0.7230160096904159 53.4449 85.7448 -9999.0 2.3939
2115.9003 49 0.7031016845207696 57.8071 98.5219 -9999.0 2.5117
2116.1003 57 0.9833008465856153 79.7793 104.2889 -9999.0 2.5061
2116.3003 57 1.2332692873367208 92.6257 95.7128 -9999.0 2.3845
2116.5003 57 1.3730554076976187 92.1252 78.723 -9999.0 2.3376
2116.7003 57 1.6475721688125824 98.9471 56.7525 -9999.0 2.4467
2116.9003 57 2.237201092293658 129.6886 41.3866 -9999.0 2.5151
2117.1003 6 2.378655830428654 144.9684 41.7128 -9999.0 2.4567
2117.3003 6 2.158588943966371 142.1572 57.6044 -9999.0 2.3369
2117.5003 6 2.040296270739147 140.5585 73.0627 -9999.0 2.2112
2117.7003 6 2.0047973785038575 139.1044 76.5464 -9999.0 2.162
2117.9003 6 1.9862483177674957 137.7442 75.3983 -9999.0 2.184
2118.1003 58 1.946886506185717 136.8501 74.8653 -9999.0 2.2165
2118.3003 58 1.9028297124213918 136.2833 73.7576 -9999.0 2.2191
2118.5003 58 1.8906430642284002 135.9644 73.5203 -9999.0 2.1862
2118.7003 58 1.8960835451468916 135.4537 73.0428 -9999.0 2.1728
2118.9003 58 1.7985643165071155 129.265 71.9521 -9999.0 2.21
2119.1003 58 1.612835511615069 119.1006 72.5712 -9999.0 2.2461
2119.3003 58 1.5631410920171676 116.3156 72.2827 -9999.0 2.2434
2119.5003 58 1.5618526753588595 115.6736 71.9805 -9999.0 2.235
2119.7003 58 1.5502627666780104 114.6491 71.6601 -9999.0 2.2421
2119.9003 58 1.5006729684565898 112.0991 67.6636 -9999.0 2.2677
2120.1003 58 1.4507415563492505 109.1087 65.1725 -9999.0 2.3013
2120.3003 58 1.4360161198413426 107.3163 64.2543 -9999.0 2.2957
2120.5003 58 1.4462929550631616 107.2914 58.6772 -9999.0 2.2855
2120.7003 58 1.4835695411842966 109.5366 55.7414 -9999.0 2.3283
2120.9003 58 1.5394528568965535 113.2212 63.1893 -9999.0 2.3552
2121.1003 58 1.580886789396665 114.9664 67.8408 -9999.0 2.3406
2121.3003 58 1.6181241561911395 115.5136 66.5256 -9999.0 2.3275
2121.5003 58 1.6379717535754823 114.8684 62.3356 -9999.0 2.3301
2121.7003 58 1.627934303555162 113.2621 57.7291 -9999.0 2.342
2121.9003 58 1.5884559514488057 111.9155 54.7869 -9999.0 2.3386
2122.1003 58 1.539894942581586 111.8456 53.1033 -9999.0 2.329
