Estatísticas Básicas,média,2σ,min,25%,50%,75%,máx
COₘₐ,0.15,0.22,0.0,0.04,0.06,0.1,1.02
rCO,0.11,0.07,0.0,0.03,0.12,0.15,0.45
qCO,1.0,0.51,0.0,0.39,1.28,1.43,1.5
COₜₑ,1.1,0.56,0.0,0.43,1.43,1.57,1.62
COT,1.25,0.66,0.04,0.48,1.55,1.66,2.63
