Unnamed: 0,Profundidade [m],COₘₐ [%],qCO [%],rCO [%],COT [%],IH [mg HC/g COT],IO  [mg CO₂/g COT],δ¹³C [‰],of,of_class
30,1895.6,0.05399488970178525,0.2153835880218571,0.0179486323351547,0.287327110058797,272.0192209670219,131.81698752113053,-19.93649531461176,-99.0,??
31,1896.1,0.05401560630259845,0.08707063717043527,0.007255886430869551,0.14834212990390327,332.3363151231111,107.55460582688342,-19.516308815996304,-99.0,??
32,1896.6,0.05403633523823878,0.12513586437859825,0.010427988698216541,0.1896001883150536,305.2505083488929,118.44979551808576,-19.704996458693106,-99.0,??
33,1897.1,0.05405707655586337,0.14561875069973507,0.01213489589164457,0.211810723147243,295.05404676665313,122.55129354779577,-19.776027988816573,-99.0,??
34,1897.6,0.05407783022828196,0.046148499268186434,0.0038457082723488134,0.1040720377688172,385.56196093740687,86.14473930832399,-19.14552341818885,-99.0,??
35,1898.1,0.05409859630481336,0.11276677618589748,0.009397231348824751,0.17626260383953554,312.75353596648387,115.43172373483013,-19.652728176413266,-99.0,??
36,1898.6,0.054119374756147885,0.1506863001224401,0.012557191676869972,0.217362866555458,292.9206568371492,123.40944365427029,-19.790889806303003,-99.0,??
37,1899.1,0.054140165629608585,0.16503586857075805,0.013752989047563113,0.2329290232479297,287.25557936799527,125.68820515309861,-19.830354390919585,-99.0,??
38,1899.6,0.05416096889792108,0.1166313308783078,0.009719277573192298,0.1805115773494212,310.39882961642905,116.37889774979591,-19.66913174873948,-99.0,??
39,1900.1,0.054181784610573436,0.12220074757274355,0.010183395631061964,0.18656592781437892,307.10403775703173,117.70421852020523,-19.692084231355512,-99.0,??
40,1900.6,0.054202612738169,0.16083640784901745,0.0134030339874181,0.2284420545746045,288.911903261086,125.02195351969804,-19.818815954810415,-99.0,??
41,1901.1,0.0542227373789107,0.13299850843491254,0.011083209036242658,0.19830445485006595,301.2901046596752,120.04285677734407,-19.73258578776405,-99.0,??
42,1901.6,0.054244306353298605,0.09950748936717524,0.0082922907805979,0.16204408650107174,322.279909927989,111.59976656829208,-19.58636467241176,-99.0,??
43,1902.1,0.05426445536382805,0.10935634627751956,0.009113028856459926,0.17273383049780755,315.2285120154181,114.43617157132616,-19.635486770229672,-99.0,??
44,1902.6,0.054286049828213286,0.22718596911478264,0.01893216409289855,0.30040418303589445,269.55074206362843,132.80992622609108,-19.953691459781467,-99.0,??
45,1903.1,0.05430622324517558,0.26744712521869385,0.0222872604348911,0.3440406088987605,261.72499300961755,135.95781180062573,-20.008207913865586,-99.0,??
46,1903.6,0.0543278432396441,0.16647742384153918,0.013873118653461523,0.2346783857346448,286.93624227622985,125.81665760124686,-19.832578986390306,-99.0,??
47,1904.1,0.054348758730003895,0.15029759075655136,0.012524799229712613,0.21717114871626786,293.35745377928237,123.23374331125495,-19.787846951200507,-99.0,??
48,1904.6,0.05436825093519177,0.11332957336198125,0.0094441311134984,0.1771419554106714,312.7530792598654,115.43190744378452,-19.652731357964985,-99.0,??
49,1905.1,0.0543906272014313,0.10078081986349653,0.008398401655291376,0.16356984872021918,321.5172590886741,111.90654072612892,-19.591677520955308,-99.0,??
50,1905.6,0.054410143362560864,0.18214961314431305,0.015179134428692731,0.25173889093556656,281.67773975387996,127.93187546978764,-19.86921125115275,-99.0,??
51,1906.1,0.05443254581653114,0.23902269260589384,0.01991855771715778,0.3133737961395827,267.15062671713827,133.7753658823197,-19.97041136444241,-99.0,??
52,1906.6,0.05445352396251504,0.26821547328125384,0.02235128944010445,0.3450202866838733,261.71771096579414,135.96074098229857,-20.0082586427102,-99.0,??
53,1907.1,0.0544737953907156,0.2827267354857703,0.02356056129048084,0.3607610921669668,259.3796974810246,136.90120033909344,-20.02454592766028,-99.0,??
54,1907.6,0.054495517942833326,0.2440217733572689,0.02033514777977236,0.3188524390798746,266.1965958889262,134.15912210310609,-19.977057421897367,-99.0,??
55,1908.1,0.05451581397857366,0.20246197009113945,0.016871830840928304,0.2738496149106414,275.8362139138674,130.28161283015223,-19.90990502666744,-99.0,??
56,1908.6,0.054537562266663016,0.12887956439249315,0.010739963699374407,0.19415709035853052,303.84448554538017,119.01536424129654,-19.71479122429061,-99.0,??
57,1909.1,0.05455788295125573,0.2804292647762887,0.023369105398024004,0.3583562531255685,259.806880404099,136.72936720823878,-20.021570046623125,-99.0,??
58,1909.6,0.05457965702009703,0.2610150220357017,0.021751251836308442,0.3373459308921072,263.0747348408662,135.41488194041565,-19.99880521796251,-99.0,??
59,1910.1,0.05460072334149104,0.22976182732175146,0.019146818943479305,0.30350936960672176,269.2727710222365,132.92173929667342,-19.955627887260828,-99.0,??
60,1910.6,0.05462180228101245,0.2425844215631097,0.020215368463592454,0.3174215923077145,266.5965018038877,133.9982610721441,-19.974271560467304,-99.0,??
61,1911.1,0.054642893889090695,0.15843560763955544,0.013202967303296287,0.2262814688319424,290.3534420960293,124.44209857260843,-19.808773774162493,-99.0,??
62,1911.6,0.05466399813584573,0.261806039210712,0.021817169934225944,0.33828720728078365,263.00597800400294,135.4425391849067,-19.999284198174358,-99.0,??
63,1912.1,0.0546851150702178,0.21907676006819526,0.018256396672349573,0.2920182718107627,271.79492506344764,131.90720991829858,-19.938057825400698,-99.0,??
64,1912.6,0.05470624466385722,0.11327067324688135,0.009439222770573408,0.17741614068131195,313.24284156026437,115.23490193418584,-19.649319530703774,-99.0,??
65,1913.1,0.05472738696631591,0.2132708707907458,0.017772572565895484,0.2857708303229572,273.246953410691,131.3231355943513,-19.92794257174575,-99.0,??
66,1913.6,0.05474854194867493,0.281603211579589,0.023466934298299047,0.35981868782656296,259.77644808218963,136.74160852424285,-20.02178204706789,-99.0,??
67,1914.1,0.05476970966057293,0.25945635596954464,0.021621362997461983,0.33584742862757955,263.5155515947131,135.23756463943005,-19.995734359677282,-99.0,??
68,1914.6,0.05479089007304712,0.2457119098752089,0.020475992489600747,0.3209787924378568,266.12402836126853,134.18831218726498,-19.977562948494533,-99.0,??
69,1915.1,0.05481208323529613,0.3495961150530036,0.029133009587750225,0.4335412078760499,250.9698494391943,140.2840380907511,-20.08313138592921,-99.0,??
