Profundidade [m]	Fração de Areia [%]
2400.0	87.98237806381906
2400.2	90.16866908420258
2400.4	90.42087096990903
2400.6	89.7512063246591
2400.8	89.83742863057141
2401.0	91.43796124322722
2401.2	92.07097043183136
2401.4	91.83578813281353
2401.6	90.00565919851343
2401.8	88.38529792060444
2402.0	89.54995556359933
2402.2	91.81603665071336
2402.4	94.51626736393413
2402.6	92.87065429149798
2402.8	89.57131308658491
2403.0	87.85922639188514
2403.2	88.72211381910485
2403.4	90.96715479608707
2403.6	91.28045425475702
2403.8	89.54809290008636
2404.0	87.77727026014745
2404.2	86.89596774327521
2404.4	87.10444592542142
2404.6	88.22390253376933
2404.8	88.40095355477848
2405.0	88.28798133016107
2405.2	88.16782087425678
2405.4	88.8560496737813
2405.6	88.89620622782125
2405.8	88.9425429937508
2406.0	87.44199763868625
2406.2	87.36771578417543
2406.4	86.84603844098304
2406.6	86.02050304929418
2406.8	84.63990980724722
2407.0	83.83631113104843
2407.2	85.43180660556925
2407.4	87.02998977356263
2407.6	88.90416126603667
2407.8	89.28275114104977
2408.0	89.4005231099467
2408.2	90.33014423859815
2408.4	90.95138687279191
2408.6	90.58844778294589
2408.8	90.48933144389798
2409.0	89.30557764044146
2409.2	88.11075822821043
2409.4	87.96421512187979
2409.6	86.62054483304745
2409.8	86.88737339039103
2410.0	85.96982378767756
2410.2	85.11158601419615
2410.4	86.1323749540095
2410.6	87.66407347907446
2410.8	89.03099463239488
2411.0	89.56430931822509
2411.2	89.05416776959477
2411.4	89.24297052643294
2411.6	88.0374928730824
2411.8	87.09501845153287
2412.0	86.54538279063955
2412.2	87.70478109747421
2412.4	88.39303330763532
2412.6	88.69700431781996
2412.8	88.4408194592916
2413.0	88.54547879039656
2413.2	88.78454938199923
2413.4	87.88225323300354
2413.6	85.44778421875654
2413.8	84.26954179656028
2414.0	81.86881377917366
2414.2	84.3778708720421
2414.4	85.97093523677145
2414.6	88.40225202896904
2414.8	90.39821168873507
2415.0	90.97540908608464
2415.2	93.0713253575104
2415.4	92.62132499403874
2415.6	92.41189357171092
2415.8	90.72394158629226
2416.0	88.75240515732438
2416.2	88.27209597982556
2416.4	88.12734247575034
2416.6	88.74467132001844
2416.8	88.44892903808211
2417.0	88.24785318603165
2417.2	87.82585275342981
2417.4	86.05482885402515
2417.6	85.26716434520819
2417.8	85.37078996803471
2418.0	86.04730303832804
2418.2	86.78812864212716
2418.4	87.45867884128916
2418.6	87.99782276673109
2418.8	88.9355388687908
2419.0	88.67335780933999
2419.2	89.9067385997042
2419.4	90.09925193957282
2419.6	90.33699994503127
2419.8	89.8901946114197
2420.0	88.36054557451929
2420.2	87.98885351103918
2420.4	87.29405557514117
2420.6	88.09532621260287
2420.8	89.58836104738054
2421.0	90.6047528171263
2421.2	91.71103778390945
2421.4	91.23632201745271
2421.6	91.16126986049245
2421.8	89.93752575232489
2422.0	90.42098382230965
2422.2	90.4286682913634
2422.4	90.30663276493357
2422.6	90.92914159955491
2422.8	90.71744202919814
2423.0	90.70985186581451
2423.2	89.94430881350085
2423.4	88.70445193086185
2423.6	87.33450417648565
2423.8	86.5872274486647
2424.0	87.00491769404499
2424.2	89.32329565802114
2424.4	91.5712959079173
2424.6	91.82162738962676
2424.8	91.13105567153846
2425.0	89.57171325643318
2425.2	88.61733901127869
2425.4	88.77628999692385
2425.6	87.76100772079045
2425.8	87.16143147233433
2426.0	86.30851947469658
2426.2	85.04190717568937
2426.4	85.38841267183072
2426.6	86.18282602499359
2426.8	87.74648358228987
2427.0	90.09217529107758
2427.2	91.30382601468371
2427.4	91.62286239715051
2427.6	91.31803213753437
2427.8	90.37520781748223
2428.0	90.81643647211546
2428.2	92.04233178655247
2428.4	93.12097731753101
2428.6	92.45465363143951
2428.8	90.1369873743551
2429.0	88.87156504534718
2429.2	87.76926258724035
2429.4	87.42565329869112
2429.6	87.2608013018563
2429.8	87.03769641846255
2430.0	87.7533785671789
2430.2	87.46646108413009
2430.4	87.25307920942882
2430.6	88.50565050988762
2430.8	89.26747180442835
2431.0	90.42163899801085
2431.2	90.92854053300763
2431.4	90.36026675986525
2431.6	90.73283216180222
2431.8	91.10904411501701
2432.0	90.09869862535241
2432.2	89.25115996330783
2432.4	89.01469859395233
2432.6	89.70592116740127
2432.8	91.27314214717263
2433.0	90.23730822065254
2433.2	89.27372727326815
2433.4	87.31876214053794
2433.6	87.53207789318229
2433.8	87.01265096180609
2434.0	87.18662090875596
2434.2	87.70508208277094
2434.4	89.2277637141945
2434.6	89.24364896794195
2434.8	89.19538091843648
2435.0	88.11090995087048
2435.2	87.98030853483468
2435.4	86.56168376496048
2435.6	86.52802715302342
2435.8	86.77249253919575
2436.0	89.5885609953587
2436.2	90.64948574533607
2436.4	90.5652667073573
2436.6	89.29791449743222
2436.8	88.40884805219024
2437.0	88.31258500696984
2437.2	88.49738481843974
2437.4	89.42418188182985
2437.6	89.2584400005943
2437.8	87.84229592331006
2438.0	86.34250853876401
2438.2	85.67136470575178
2438.4	85.17201024761715
2438.6	85.47435671238301
2438.8	85.4649534778004
2439.0	84.95559151022124
2439.2	86.59577667193626
2439.4	87.15348695181632
2439.6	88.07126868614789
2439.8	89.8213716328713
2440.0	90.04587621262905
2440.2	91.53458980435659
2440.4	92.07735594520369
2440.6	90.55021977522424
2440.8	89.03700421885095
2441.0	85.93523100001755
2441.2	84.81619022934446
2441.4	86.94777896956258
2441.6	90.71201154632273
2441.8	94.46966971108907
2442.0	95.75095737283863
2442.2	96.14329993725308
2442.4	94.30404566806975
