Estatísticas Básicas,média,2σ,min,25%,50%,75%,máx
COₘₐ,0.4,0.7,0.04,0.12,0.21,0.29,4.39
rCO,0.13,0.1,0.0,0.06,0.1,0.19,0.5
qCO,0.89,0.36,0.01,0.62,0.89,1.19,1.5
COₜₑ,1.02,0.39,0.02,0.72,1.07,1.34,1.62
COT,1.43,0.82,0.12,0.91,1.39,1.62,5.96
