Estatísticas Básicas,média,2σ,min,25%,50%,75%,máx
COₘₐ,0.43,0.77,0.03,0.08,0.11,0.25,3.85
rCO,0.13,0.07,0.0,0.08,0.1,0.17,0.47
qCO,1.06,0.29,0.0,0.9,1.07,1.3,1.5
COₜₑ,1.18,0.32,0.0,1.01,1.23,1.44,1.62
COT,1.61,0.85,0.07,1.15,1.45,1.71,5.46
